,Date,Saves,Saves_perc,Tk,Tk_perc,Press,Press_perc,Sh,SoT,SoT_perc,Sh_perc,Pass,Pass_perc
1,2018-08-11 00:00:00,2,1.0,13.0,0.5384615384615384,144.0,24.3,12,3,25.0,0.67,682.0,87.5
2,2018-08-18 00:00:00,4,0.667,13.0,0.6923076923076923,139.0,23.7,23,11,47.8,0.27,732.0,87.3
3,2018-08-26 00:00:00,1,0.5,10.0,0.7,110.0,43.6,16,3,18.8,0.0,931.0,89.2
4,2018-09-01 00:00:00,1,1.0,8.0,0.375,128.0,39.1,25,6,24.0,0.33,747.0,84.7
5,2018-09-15 00:00:00,1,0.5,8.0,0.875,74.0,37.8,18,6,33.3,0.5,795.0,87.8
6,2018-09-20 00:00:00,1,1.0,11.0,0.45454545454545453,175.0,28.6,20,5,25.0,0.2,744.0,88.4
7,2018-09-23 00:00:00,1,1.0,9.0,0.6666666666666666,158.0,25.9,16,6,37.5,0.0,816.0,84.3
9,2018-09-29 00:00:00,3,0.75,16.0,0.625,164.0,18.9,10,4,40.0,0.25,577.0,81.5
10,2018-10-04 00:00:00,3,1.0,15.0,0.6,99.0,25.3,27,4,14.8,0.25,752.0,87.9
11,2018-10-07 00:00:00,6,1.0,8.0,0.875,204.0,22.5,20,6,30.0,0.5,697.0,86.9
12,2018-10-20 00:00:00,2,0.5,10.0,0.6,140.0,35.0,21,6,28.6,0.33,651.0,87.3
13,2018-10-25 00:00:00,1,0.5,17.0,0.6470588235294118,103.0,32.0,23,10,43.5,0.3,828.0,90.6
14,2018-10-28 00:00:00,1,1.0,10.0,0.7,160.0,20.0,24,8,33.3,0.5,811.0,91.2
16,2018-11-04 00:00:00,0,0.0,16.0,0.875,26.0,34.6,15,6,40.0,0.5,910.0,89.7
17,2018-11-08 00:00:00,1,1.0,8.0,0.625,68.0,32.4,18,4,22.2,0.25,881.0,88.8
18,2018-11-11 00:00:00,1,1.0,20.0,0.65,159.0,34.0,14,3,21.4,0.0,733.0,86.8
19,2018-11-24 00:00:00,5,0.625,18.0,0.7777777777777778,154.0,24.0,13,2,15.4,0.5,594.0,82.5
20,2018-11-29 00:00:00,0,0.6976724137931035,19.0,0.7368421052631579,97.0,24.7,28,10,35.7,0.4,671.0,90.0
21,2018-12-02 00:00:00,5,1.0,19.0,0.3684210526315789,120.0,25.8,16,9,56.3,0.22,750.0,87.6
22,2018-12-05 00:00:00,0,0.0,12.0,0.8333333333333334,143.0,33.6,17,3,17.6,0.33,720.0,86.5
23,2018-12-08 00:00:00,4,1.0,22.0,0.45454545454545453,173.0,19.7,8,5,62.5,0.4,450.0,82.4
24,2018-12-13 00:00:00,2,0.33299999999999996,12.0,0.75,90.0,44.4,17,5,29.4,0.4,750.0,87.9
25,2018-12-16 00:00:00,1,0.5,12.0,0.5,131.0,27.5,10,3,30.0,0.67,664.0,86.1
27,2018-12-22 00:00:00,2,0.667,24.0,0.6666666666666666,205.0,30.7,17,5,29.4,0.0,759.0,84.2
28,2018-12-26 00:00:00,1,0.5,15.0,0.5333333333333333,271.0,28.8,9,3,33.3,0.33,752.0,88.0
29,2018-12-30 00:00:00,0,0.6976724137931035,9.0,0.5555555555555556,161.0,28.6,12,3,25.0,0.33,809.0,87.4
30,2019-01-02 00:00:00,2,1.0,14.0,0.5714285714285714,160.0,35.0,16,6,37.5,0.0,801.0,83.3
33,2019-01-12 00:00:00,1,0.5,21.0,0.6190476190476191,246.0,28.0,10,6,60.0,0.33,733.0,85.7
34,2019-01-19 00:00:00,3,0.6,14.0,0.6428571428571429,235.0,33.2,14,1,7.1,0.0,683.0,85.8
37,2019-01-30 00:00:00,3,0.429,15.0,0.6666666666666666,190.0,27.4,11,6,54.5,0.0,775.0,86.7
38,2019-02-02 00:00:00,2,1.0,30.0,0.7666666666666667,259.0,38.6,20,6,30.0,0.67,767.0,87.5
39,2019-02-10 00:00:00,3,0.375,25.0,0.76,251.0,19.5,12,5,41.7,0.0,560.0,87.7
40,2019-02-14 00:00:00,1,0.5,8.0,0.625,203.0,27.6,11,5,45.5,0.4,796.0,91.3
42,2019-02-21 00:00:00,0,0.6976724137931035,15.0,0.6,171.0,35.1,12,7,58.3,0.43,734.0,88.4
44,2019-02-27 00:00:00,0,0.6976724137931035,27.0,0.7407407407407407,325.0,31.1,12,1,8.3,1.0,530.0,79.8
45,2019-03-03 00:00:00,4,0.8,17.0,0.7647058823529411,164.0,30.5,20,7,35.0,0.29,716.0,90.1
46,2019-03-07 00:00:00,0,0.6976724137931035,11.0,0.6363636363636364,228.0,26.8,12,8,66.7,0.38,683.0,87.8
47,2019-03-10 00:00:00,0,0.0,12.0,0.8333333333333334,146.0,42.5,21,5,23.8,0.2,890.0,87.5
48,2019-03-14 00:00:00,2,1.0,11.0,0.9090909090909091,171.0,33.3,14,8,57.1,0.63,666.0,87.1
49,2019-03-17 00:00:00,4,0.667,19.0,0.5789473684210527,132.0,36.4,16,5,31.3,0.0,711.0,84.1
50,2019-03-31 00:00:00,2,0.667,14.0,0.5714285714285714,83.0,33.7,20,3,15.0,0.67,636.0,82.5
51,2019-04-03 00:00:00,1,1.0,23.0,0.6086956521739131,192.0,27.1,17,4,23.5,0.75,776.0,90.5
52,2019-04-08 00:00:00,2,1.0,14.0,0.7857142857142857,112.0,29.5,16,7,43.8,0.29,525.0,82.9
53,2019-04-11 00:00:00,3,1.0,22.0,0.6363636363636364,264.0,29.5,8,2,25.0,0.5,613.0,82.9
54,2019-04-14 00:00:00,5,0.7140000000000001,26.0,0.5769230769230769,234.0,20.1,6,3,50.0,0.0,438.0,79.5
55,2019-04-18 00:00:00,1,0.25,15.0,0.6666666666666666,227.0,32.2,9,4,44.4,0.75,567.0,84.1
56,2019-04-22 00:00:00,0,0.0,18.0,0.6666666666666666,89.0,36.0,22,7,31.8,0.29,752.0,83.8
57,2019-04-28 00:00:00,3,0.75,19.0,0.7894736842105263,180.0,20.0,16,3,18.8,0.33,468.0,82.5
58,2019-05-02 00:00:00,0,0.0,15.0,0.5333333333333333,126.0,34.1,16,5,31.3,0.2,622.0,84.1
59,2019-05-05 00:00:00,2,1.0,24.0,0.5833333333333334,168.0,26.8,18,9,50.0,0.33,575.0,83.7
60,2019-05-09 00:00:00,3,0.75,18.0,0.7222222222222222,174.0,36.2,17,6,35.3,-0.5,711.0,80.5
61,2019-05-12 00:00:00,3,1.0,16.0,0.875,124.0,22.6,14,4,28.6,0.0,581.0,85.0
62,2019-05-29 00:00:00,1,0.5,14.0,0.5714285714285714,163.0,19.6,14,7,50.0,0.43,464.0,84.9
