,Date,Saves,Saves_perc,Tk,Tk_perc,Press,Press_perc,Sh,SoT,SoT_perc,Sh_perc,Pass,Pass_perc
1,2018-08-18 00:00:00,0,0.7371999999999999,6.0,0.5,108.0,52.8,25,9,36.0,0.33,890.0,89.0
2,2018-08-25 00:00:00,4,1.0,7.0,0.5714285714285714,179.0,26.8,10,5,50.0,0.2,615.0,83.1
3,2018-09-02 00:00:00,2,0.5,16.0,0.6875,126.0,32.5,28,14,50.0,0.43,708.0,90.7
4,2018-09-15 00:00:00,3,0.75,19.0,0.7368421052631579,195.0,31.8,12,6,50.0,0.33,793.0,87.9
5,2018-09-18 00:00:00,2,1.0,14.0,0.7142857142857143,90.0,25.6,20,10,50.0,0.4,826.0,89.7
6,2018-09-23 00:00:00,3,0.6,12.0,0.5833333333333334,132.0,34.1,20,11,55.0,0.18,768.0,91.3
7,2018-09-26 00:00:00,4,0.667,19.0,0.5789473684210527,105.0,26.7,9,5,55.6,0.2,855.0,88.7
8,2018-09-29 00:00:00,1,0.5,18.0,0.6111111111111112,127.0,40.2,21,7,33.3,0.14,720.0,83.8
9,2018-10-03 00:00:00,3,0.6,21.0,0.5714285714285714,146.0,30.8,14,8,57.1,0.5,711.0,87.9
10,2018-10-07 00:00:00,2,0.667,12.0,0.8333333333333334,152.0,30.3,10,5,50.0,0.2,1032.0,90.8
11,2018-10-20 00:00:00,5,0.667,12.0,0.8333333333333334,151.0,26.5,22,8,36.4,0.38,520.0,86.2
12,2018-10-24 00:00:00,2,1.0,22.0,0.7727272727272727,188.0,33.0,21,11,52.4,0.18,806.0,88.8
13,2018-10-28 00:00:00,3,0.75,13.0,0.8461538461538461,234.0,26.1,12,7,58.3,0.57,583.0,87.1
15,2018-11-03 00:00:00,3,0.6,25.0,0.84,141.0,35.5,9,5,55.6,0.6,747.0,85.5
16,2018-11-06 00:00:00,1,0.5,12.0,0.5833333333333334,162.0,32.7,27,10,37.0,0.1,792.0,88.5
17,2018-11-11 00:00:00,4,0.5,18.0,0.4444444444444444,253.0,22.5,19,4,21.1,0.5,553.0,83.9
18,2018-11-24 00:00:00,0,0.0,13.0,0.8461538461538461,184.0,34.2,7,2,28.6,0.5,758.0,89.7
19,2018-11-28 00:00:00,8,0.889,25.0,0.76,226.0,31.4,24,6,25.0,0.33,695.0,85.2
20,2018-12-02 00:00:00,2,1.0,16.0,0.6875,169.0,26.0,16,7,43.8,0.29,716.0,89.9
22,2018-12-08 00:00:00,3,1.0,22.0,0.6818181818181818,143.0,24.5,17,9,52.9,0.44,617.0,86.7
23,2018-12-11 00:00:00,6,0.857,14.0,0.42857142857142855,181.0,20.4,14,3,21.4,0.33,546.0,86.3
24,2018-12-16 00:00:00,6,1.0,15.0,0.7333333333333333,232.0,22.4,16,9,56.3,0.56,562.0,88.3
25,2018-12-22 00:00:00,3,1.0,10.0,0.7,158.0,21.5,9,4,44.4,0.5,588.0,86.4
26,2019-01-06 00:00:00,1,0.5,15.0,0.6,105.0,31.4,13,8,61.5,0.25,765.0,90.6
28,2019-01-13 00:00:00,1,1.0,21.0,0.6190476190476191,155.0,21.3,7,6,85.7,0.5,651.0,85.1
30,2019-01-20 00:00:00,1,0.5,14.0,0.7857142857142857,103.0,38.8,15,7,46.7,0.43,828.0,87.6
32,2019-01-27 00:00:00,4,1.0,15.0,0.7333333333333333,132.0,25.0,15,6,40.0,0.33,672.0,86.6
34,2019-02-02 00:00:00,5,0.833,12.0,0.5833333333333334,196.0,28.1,19,7,36.8,0.14,807.0,89.3
36,2019-02-10 00:00:00,5,1.0,15.0,0.7333333333333333,160.0,27.5,13,3,23.1,0.0,726.0,87.3
37,2019-02-16 00:00:00,0,0.7371999999999999,20.0,0.65,207.0,32.9,18,6,33.3,0.0,742.0,89.2
38,2019-02-19 00:00:00,2,1.0,21.0,0.7142857142857143,223.0,27.4,25,5,20.0,0.0,718.0,87.6
39,2019-02-23 00:00:00,2,0.5,10.0,0.8,154.0,26.0,17,7,41.2,0.57,602.0,84.4
41,2019-03-02 00:00:00,3,1.0,19.0,0.7894736842105263,164.0,28.7,10,4,40.0,0.25,543.0,84.5
42,2019-03-09 00:00:00,0,0.0,22.0,0.7272727272727273,229.0,36.7,11,5,45.5,0.4,732.0,89.8
43,2019-03-13 00:00:00,1,0.5,15.0,0.7333333333333333,193.0,23.3,19,8,42.1,0.5,611.0,86.7
44,2019-03-17 00:00:00,2,0.667,12.0,0.75,287.0,22.3,16,9,56.3,0.44,487.0,87.1
45,2019-03-30 00:00:00,2,1.0,20.0,0.6,125.0,38.4,13,3,23.1,0.67,725.0,86.6
46,2019-04-02 00:00:00,5,0.556,12.0,0.8333333333333334,145.0,27.6,15,9,60.0,0.44,713.0,89.2
47,2019-04-06 00:00:00,2,1.0,11.0,0.8181818181818182,240.0,28.3,20,11,55.0,0.18,760.0,90.3
48,2019-04-10 00:00:00,0,0.7371999999999999,12.0,0.4166666666666667,174.0,21.3,5,3,60.0,0.0,825.0,90.7
49,2019-04-13 00:00:00,0,0.7371999999999999,20.0,0.7,144.0,31.9,10,2,20.0,0.0,682.0,87.4
50,2019-04-16 00:00:00,3,1.0,12.0,0.5,200.0,23.0,13,6,46.2,0.5,825.0,91.9
51,2019-04-20 00:00:00,2,0.667,17.0,0.6470588235294118,211.0,28.4,11,4,36.4,0.5,567.0,82.5
52,2019-04-23 00:00:00,1,1.0,14.0,0.42857142857142855,91.0,31.9,15,5,33.3,0.2,811.0,88.7
53,2019-04-27 00:00:00,2,1.0,21.0,0.7619047619047619,152.0,25.0,23,12,52.2,0.08,650.0,86.3
54,2019-05-01 00:00:00,3,1.0,12.0,0.4166666666666667,168.0,25.6,11,5,45.5,0.6,542.0,84.9
55,2019-05-04 00:00:00,4,0.8,7.0,0.42857142857142855,206.0,18.4,8,1,12.5,0.0,661.0,89.6
56,2019-05-07 00:00:00,3,0.429,13.0,0.7692307692307693,132.0,23.5,8,5,62.5,0.0,624.0,81.7
57,2019-05-12 00:00:00,0,0.7371999999999999,11.0,0.5454545454545454,97.0,39.2,13,8,61.5,0.13,929.0,89.2
58,2019-05-19 00:00:00,6,0.75,11.0,0.45454545454545453,133.0,27.1,8,3,37.5,0.67,656.0,86.4
