Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-12,21:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,W,2,1,Sevilla,,,69,"40,000",Lionel Messi,4-3-3,Carlos del Cerro,Match Report,
2018-08-18,22:15 (13:15),La Liga,Matchweek 1,Sat,Home,W,3,0,Alavés,3.1,0.3,79,"52,356",Lionel Messi,4-4-2,José Sánchez,Match Report,
2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,1,0,Valladolid,0.9,0.3,63,"22,651",Lionel Messi,4-3-3,Ricardo de Burgos,Match Report,
2018-09-02,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,W,8,2,Huesca,5.0,1.2,67,"72,892",Lionel Messi,4-1-4-1,Mario Melero,Match Report,
2018-09-15,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Real Sociedad,1.4,1.2,68,"26,756",Lionel Messi,4-1-4-1,Carlos del Cerro,Match Report,
2018-09-18,18:55 (09:55),Champions Lg,Group stage,Tue,Home,W,4,0,nl PSV Eindhoven,2.0,0.6,74,"73,462",Lionel Messi,4-1-4-1,Tasos Sidiropoulos,Match Report,
2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Home,D,2,2,Girona,1.3,0.9,67,"76,055",Lionel Messi,4-1-4-1,Jesús Gil,Match Report,
2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Away,L,1,2,Leganés,0.6,1.1,76,"12,231",Lionel Messi,4-1-4-1,Alberto Undiano,Match Report,
2018-09-29,16:15 (07:15),La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,2.9,0.8,69,"78,015",Gerard Piqué,4-1-4-1,Santiago Jaime,Match Report,
2018-10-03,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,4,2,eng Tottenham,1.5,0.6,61,"82,137",Lionel Messi,4-3-2-1,Tobias Stieler,Match Report,
2018-10-07,20:45 (11:45),La Liga,Matchweek 8,Sun,Away,D,1,1,Valencia,0.4,1.4,75,"46,249",Lionel Messi,4-1-4-1,José González,Match Report,
2018-10-20,20:45 (11:45),La Liga,Matchweek 9,Sat,Home,W,4,2,Sevilla,2.5,1.8,53,"88,712",Lionel Messi,4-3-3,Juan Martínez,Match Report,
2018-10-24,21:00 (12:00),Champions Lg,Group stage,Wed,Home,W,2,0,it Inter,2.2,0.7,68,"86,290",Sergio Busquets,4-1-4-1,Ovidiu Hațegan,Match Report,
2018-10-28,16:15 (08:15),La Liga,Matchweek 10,Sun,Home,W,5,1,Real Madrid,3.0,2.1,53,"93,265",Sergio Busquets,4-1-4-1,José Sánchez,Match Report,
2018-10-31,21:30 (13:30),Copa del Rey,Round of 32,Wed,Away,W,1,0,Leonesa,,,68,"10,873",Denis Suárez,4-3-3,Mario Melero,Match Report,Leg 1 of 2
2018-11-03,20:45 (12:45),La Liga,Matchweek 11,Sat,Away,W,3,2,Rayo Vallecano,1.2,1.4,68,"13,785",Sergio Busquets,4-3-2-1,Alejandro Hernández,Match Report,
2018-11-06,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,1,1,it Inter,1.7,1.9,66,"70,915",Sergio Busquets,4-1-4-1,Szymon Marciniak,Match Report,
2018-11-11,16:15 (07:15),La Liga,Matchweek 12,Sun,Home,L,3,4,Betis,4.2,2.0,56,"83,174",Lionel Messi,4-1-4-1,Antonio Matéu Lahoz,Match Report,
2018-11-24,20:45 (11:45),La Liga,Matchweek 13,Sat,Away,D,1,1,Atlético Madrid,0.5,0.1,68,"67,204",Lionel Messi,4-4-2,Jesús Gil,Match Report,
2018-11-28,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,nl PSV Eindhoven,1.8,2.8,64,"34,600",Lionel Messi,4-1-4-1,Miroslav Zelinka,Match Report,
2018-12-02,18:30 (09:30),La Liga,Matchweek 14,Sun,Home,W,2,0,Villarreal,1.2,0.7,62,"73,003",Lionel Messi,4-1-4-1,José Luis Munuera,Match Report,
2018-12-05,21:30 (12:30),Copa del Rey,Round of 32,Wed,Home,W,4,1,Leonesa,,,53,"76,398",Ivan Rakitić,4-3-3,Alberto Undiano,Match Report,Leg 2 of 2; Barcelona won
2018-12-08,20:45 (11:45),La Liga,Matchweek 15,Sat,Away,W,4,0,Espanyol,2.6,1.1,55,"24,037",Lionel Messi,4-1-4-1,Carlos del Cerro,Match Report,
2018-12-11,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,eng Tottenham,1.1,2.4,48,"69,961",Ivan Rakitić,4-1-4-1,Milorad Mažić,Match Report,
2018-12-16,20:45 (11:45),La Liga,Matchweek 16,Sun,Away,W,5,0,Levante,3.0,1.1,57,"23,736",Lionel Messi,3-5-2,José González,Match Report,
2018-12-22,18:30 (09:30),La Liga,Matchweek 17,Sat,Home,W,2,0,Celta Vigo,1.2,0.7,52,"78,686",Lionel Messi,4-1-4-1,Eduardo Prieto,Match Report,
2019-01-06,20:45 (11:45),La Liga,Matchweek 18,Sun,Away,W,2,1,Getafe,2.0,1.4,76,"14,721",Lionel Messi,4-1-4-1,Guillermo Cuadra,Match Report,
2019-01-10,21:30 (12:30),Copa del Rey,Round of 16,Thu,Away,L,1,2,Levante,,,63,"17,614",Sergio Busquets,3-4-3,Ricardo de Burgos,Match Report,Leg 1 of 2
2019-01-13,18:30 (09:30),La Liga,Matchweek 19,Sun,Home,W,3,0,Eibar,1.4,0.9,58,"71,039",Lionel Messi,4-3-3,Jesús Gil,Match Report,
2019-01-17,21:30 (12:30),Copa del Rey,Round of 16,Thu,Home,W,3,0,Levante,,,69,"42,838",Lionel Messi,4-3-3,José Sánchez,Match Report,Leg 2 of 2; Barcelona won
2019-01-20,20:45 (11:45),La Liga,Matchweek 20,Sun,Home,W,3,1,Leganés,1.6,0.6,72,"50,670",Sergio Busquets,4-1-4-1,Ricardo de Burgos,Match Report,
2019-01-23,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Away,L,0,2,Sevilla,,,60,"38,403",Gerard Piqué,4-3-3,Carlos del Cerro,Match Report,Leg 1 of 2
2019-01-27,16:15 (07:15),La Liga,Matchweek 21,Sun,Away,W,2,0,Girona,2.3,1.2,64,"14,021",Lionel Messi,4-1-4-1,Pablo González,Match Report,
2019-01-30,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Home,W,6,1,Sevilla,,,62,"58,050",Lionel Messi,4-3-3,José Sánchez,Match Report,Leg 2 of 2; Barcelona won
2019-02-02,18:30 (09:30),La Liga,Matchweek 22,Sat,Home,D,2,2,Valencia,1.8,2.9,68,"76,789",Lionel Messi,4-3-3,Alberto Undiano,Match Report,
2019-02-06,21:00 (12:00),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Real Madrid,,,57,"92,008",Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
