Date,Comp,Round,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%
2018-08-12,Supercopa de España,Supercopa de España,W,2,1,Sevilla,3,1,3,.667
2018-08-18,La Liga,Matchweek 1,W,3,0,Alavés,0,0,0,
2018-08-25,La Liga,Matchweek 2,W,1,0,Valladolid,4,0,4,1.000
2018-09-02,La Liga,Matchweek 3,W,8,2,Huesca,4,2,2,.500
2018-09-15,La Liga,Matchweek 4,W,2,1,Real Sociedad,4,1,3,.750
2018-09-18,Champions Lg,Group stage,W,4,0,nl PSV Eindhoven,2,0,2,1.000
2018-09-23,La Liga,Matchweek 5,D,2,2,Girona,5,2,3,.600
2018-09-26,La Liga,Matchweek 6,L,1,2,Leganés,6,2,4,.667
2018-09-29,La Liga,Matchweek 7,D,1,1,Athletic Club,2,1,1,.500
2018-10-03,Champions Lg,Group stage,W,4,2,eng Tottenham,5,2,3,.600
2018-10-07,La Liga,Matchweek 8,D,1,1,Valencia,3,1,2,.667
2018-10-20,La Liga,Matchweek 9,W,4,2,Sevilla,6,2,5,.667
2018-10-24,Champions Lg,Group stage,W,2,0,it Inter,2,0,2,1.000
2018-10-28,La Liga,Matchweek 10,W,5,1,Real Madrid,4,1,3,.750
2018-10-31,Copa del Rey,Round of 32,W,1,0,Leonesa,4,0,4,1.000
2018-11-03,La Liga,Matchweek 11,W,3,2,Rayo Vallecano,5,2,3,.600
2018-11-06,Champions Lg,Group stage,D,1,1,it Inter,2,1,1,.500
2018-11-11,La Liga,Matchweek 12,L,3,4,Betis,8,4,4,.500
2018-11-24,La Liga,Matchweek 13,D,1,1,Atlético Madrid,1,1,0,.000
2018-11-28,Champions Lg,Group stage,W,2,1,nl PSV Eindhoven,9,1,8,.889
2018-12-02,La Liga,Matchweek 14,W,2,0,Villarreal,2,0,2,1.000
2018-12-05,Copa del Rey,Round of 32,W,4,1,Leonesa,4,1,3,.750
2018-12-08,La Liga,Matchweek 15,W,4,0,Espanyol,3,0,3,1.000
2018-12-11,Champions Lg,Group stage,D,1,1,eng Tottenham,7,1,6,.857
2018-12-16,La Liga,Matchweek 16,W,5,0,Levante,6,0,6,1.000
2018-12-22,La Liga,Matchweek 17,W,2,0,Celta Vigo,3,0,3,1.000
2019-01-06,La Liga,Matchweek 18,W,2,1,Getafe,2,1,1,.500
2019-01-10,Copa del Rey,Round of 16,L,1,2,Levante,7,2,5,.714
2019-01-13,La Liga,Matchweek 19,W,3,0,Eibar,1,0,1,1.000
2019-01-17,Copa del Rey,Round of 16,W,3,0,Levante,1,0,1,1.000
2019-01-20,La Liga,Matchweek 20,W,3,1,Leganés,2,1,1,.500
2019-01-23,Copa del Rey,Quarter-finals,L,0,2,Sevilla,3,2,1,.333
2019-01-27,La Liga,Matchweek 21,W,2,0,Girona,4,0,4,1.000
2019-01-30,Copa del Rey,Quarter-finals,W,6,1,Sevilla,2,1,2,.500
2019-02-02,La Liga,Matchweek 22,D,2,2,Valencia,6,2,5,.833
2019-02-06,Copa del Rey,Semi-finals,D,1,1,Real Madrid,2,1,1,.500
2019-02-10,La Liga,Matchweek 23,D,0,0,Athletic Club,5,0,5,1.000
2019-02-16,La Liga,Matchweek 24,W,1,0,Valladolid,0,0,0,
2019-02-19,Champions Lg,Round of 16,D,0,0,fr Lyon,2,0,2,1.000
2019-02-23,La Liga,Matchweek 25,W,4,2,Sevilla,4,2,2,.500
2019-02-27,Copa del Rey,Semi-finals,W,3,0,Real Madrid,4,0,4,1.000
2019-03-02,La Liga,Matchweek 26,W,1,0,Real Madrid,3,0,3,1.000
2019-03-09,La Liga,Matchweek 27,W,3,1,Rayo Vallecano,1,1,0,.000
2019-03-13,Champions Lg,Round of 16,W,5,1,fr Lyon,2,1,1,.500
2019-03-17,La Liga,Matchweek 28,W,4,1,Betis,3,1,2,.667
2019-03-30,La Liga,Matchweek 29,W,2,0,Espanyol,2,0,2,1.000
2019-04-02,La Liga,Matchweek 30,D,4,4,Villarreal,9,4,5,.556
2019-04-06,La Liga,Matchweek 31,W,2,0,Atlético Madrid,2,0,2,1.000
2019-04-10,Champions Lg,Quarter-finals,W,1,0,eng Manchester Utd,0,0,0,
2019-04-13,La Liga,Matchweek 32,D,0,0,Huesca,0,0,0,
2019-04-16,Champions Lg,Quarter-finals,W,3,0,eng Manchester Utd,3,0,3,1.000
2019-04-20,La Liga,Matchweek 33,W,2,1,Real Sociedad,3,1,2,.667
2019-04-23,La Liga,Matchweek 34,W,2,0,Alavés,1,0,1,1.000
2019-04-27,La Liga,Matchweek 35,W,1,0,Levante,2,0,2,1.000
2019-05-01,Champions Lg,Semi-finals,W,3,0,eng Liverpool,3,0,3,1.000
2019-05-04,La Liga,Matchweek 36,L,0,2,Celta Vigo,5,2,4,.800
2019-05-07,Champions Lg,Semi-finals,L,0,4,eng Liverpool,7,4,3,.429
2019-05-12,La Liga,Matchweek 37,W,2,0,Getafe,0,0,0,
2019-05-19,La Liga,Matchweek 38,D,2,2,Eibar,8,2,6,.750
2019-05-25,Copa del Rey,Final,L,1,2,Valencia,3,2,1,.333
