Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2018-08-12,21:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,W,2,1,Sevilla,2,17,8,47.1,0.12,0.25,,,0,0,,,,,,Match Report
2018-08-18,22:15 (13:15),La Liga,Matchweek 1,Sat,Home,W,3,0,Alavés,3,25,9,36.0,0.12,0.33,16.3,2,0,0,3.1,3.1,0.12,-0.1,-0.1,Match Report
2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,1,0,Valladolid,1,10,5,50.0,0.10,0.20,16.9,1,0,0,0.9,0.9,0.09,=+0.1,=+0.1,Match Report
2018-09-02,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,W,8,2,Huesca,7,28,14,50.0,0.21,0.43,15.2,2,1,1,5.0,4.2,0.16,=+2.0,=+1.8,Match Report
2018-09-15,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Real Sociedad,2,12,6,50.0,0.17,0.33,11.9,0,0,0,1.4,1.4,0.12,=+0.6,=+0.6,Match Report
2018-09-18,18:55 (09:55),Champions Lg,Group stage,Tue,Home,W,4,0,nl PSV Eindhoven,4,20,10,50.0,0.20,0.40,21.2,2,0,0,2.0,2.0,0.10,=+2.0,=+2.0,Match Report
2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Home,D,2,2,Girona,2,20,11,55.0,0.10,0.18,19.6,4,0,0,1.3,1.3,0.07,=+0.7,=+0.7,Match Report
2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Away,L,1,2,Leganés,1,9,5,55.6,0.11,0.20,21.6,0,0,0,0.6,0.6,0.06,=+0.4,=+0.4,Match Report
2018-09-29,16:15 (07:15),La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,1,21,7,33.3,0.05,0.14,16.4,2,0,0,2.9,2.9,0.14,-1.9,-1.9,Match Report
2018-10-03,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,4,2,eng Tottenham,4,14,8,57.1,0.29,0.50,16.0,0,0,0,1.5,1.5,0.11,=+2.5,=+2.5,Match Report
2018-10-07,20:45 (11:45),La Liga,Matchweek 8,Sun,Away,D,1,1,Valencia,1,10,5,50.0,0.10,0.20,23.9,1,0,0,0.4,0.4,0.04,=+0.6,=+0.6,Match Report
