Name,Birthday,Value
"Thomas Vermaelen

 Centre-Back","Nov 14, 1985 (32)",$2.75m
"Samuel Umtiti

 Centre-Back","Nov 14, 1993 (24)",$49.50m
"Arturo Vidal

 Central Midfield","May 22, 1987 (31)",$16.50m
"Carles Aleñá

 Central Midfield","Jan 5, 1998 (20)",$33.00m
"Sergi Roberto

 Right-Back","Feb 7, 1992 (26)",$55.00m
"Jordi Alba

 Left-Back","Mar 21, 1989 (29)",$55.00m
"Clément Lenglet

 Centre-Back","Jun 17, 1995 (23)",$66.00m
"Malcom

 Right Winger","Feb 26, 1997 (21)",$44.00m
"Jasper Cillessen

 Goalkeeper","Apr 22, 1989 (29)",$19.80m
"Rafinha

 Attacking Midfield","Feb 12, 1993 (25)",$16.50m
"Ousmane Dembélé

 Right Winger","May 15, 1997 (21)",$110.00m
"Lionel Messi

 Right Winger","Jun 24, 1987 (31)",$165.00m
"Luis Suárez

 Centre-Forward","Jan 24, 1987 (31)",$55.00m
"Arthur

 Central Midfield","Aug 12, 1996 (21)",$77.00m
"Philippe Coutinho

 Attacking Midfield","Jun 12, 1992 (26)",$99.00m
"Jean-Clair Todibo

 Centre-Back","Dec 30, 1999 (18)",$8.80m
"Sergio Busquets

 Defensive Midfield","Jul 16, 1988 (29)",$55.00m
"Ivan Rakitic

 Central Midfield","Mar 10, 1988 (30)",$44.00m
"Gerard Piqué

 Centre-Back","Feb 2, 1987 (31)",$38.50m
"Nélson Semedo

 Right-Back","Nov 16, 1993 (24)",$44.00m
"Marc-André ter Stegen

 Goalkeeper","Apr 30, 1992 (26)",$99.00m
