Date,Comp,Round,Result,GF,GA,Opponent,Tkl,TklW,Press,%,Match Report
2018-08-05,Community Shield,FA Community Shield,L,0,2,Manchester City,,11,,,Match Report
2018-08-11,Premier League,Matchweek 1,W,3,0,Huddersfield,13,7,144,24.3,Match Report
2018-08-18,Premier League,Matchweek 2,W,3,2,Arsenal,13,9,139,23.7,Match Report
2018-08-26,Premier League,Matchweek 3,W,2,1,Newcastle Utd,10,7,110,43.6,Match Report
2018-09-01,Premier League,Matchweek 4,W,2,0,Bournemouth,8,3,128,39.1,Match Report
2018-09-15,Premier League,Matchweek 5,W,4,1,Cardiff City,8,7,74,37.8,Match Report
2018-09-20,Europa Lg,Group stage,W,1,0,gr PAOK,11,5,175,28.6,Match Report
2018-09-23,Premier League,Matchweek 6,D,0,0,West Ham,9,6,158,25.9,Match Report
2018-09-26,EFL Cup,Third round,W,2,1,Liverpool,,11,,,Match Report
2018-09-29,Premier League,Matchweek 7,D,1,1,Liverpool,16,10,164,18.9,Match Report
2018-10-04,Europa Lg,Group stage,W,1,0,hu Vidi,15,9,99,25.3,Match Report
2018-10-07,Premier League,Matchweek 8,W,3,0,Southampton,8,7,204,22.5,Match Report
2018-10-20,Premier League,Matchweek 9,D,2,2,Manchester Utd,10,6,140,35.0,Match Report
2018-10-25,Europa Lg,Group stage,W,3,1,by BATE Borisov,17,11,103,32.0,Match Report
2018-10-28,Premier League,Matchweek 10,W,4,0,Burnley,10,7,160,20.0,Match Report
2018-10-31,EFL Cup,Fourth round,W,3,2,Derby County,,10,,,Match Report
2018-11-04,Premier League,Matchweek 11,W,3,1,Crystal Palace,16,14,26,34.6,Match Report
2018-11-08,Europa Lg,Group stage,W,1,0,by BATE Borisov,8,5,68,32.4,Match Report
2018-11-11,Premier League,Matchweek 12,D,0,0,Everton,20,13,159,34.0,Match Report
2018-11-24,Premier League,Matchweek 13,L,1,3,Tottenham,18,14,154,24.0,Match Report
2018-11-29,Europa Lg,Group stage,W,4,0,gr PAOK,19,14,97,24.7,Match Report
2018-12-02,Premier League,Matchweek 14,W,2,0,Fulham,19,7,120,25.8,Match Report
2018-12-05,Premier League,Matchweek 15,L,1,2,Wolves,12,10,143,33.6,Match Report
2018-12-08,Premier League,Matchweek 16,W,2,0,Manchester City,22,10,173,19.7,Match Report
2018-12-13,Europa Lg,Group stage,D,2,2,hu Vidi,12,9,90,44.4,Match Report
2018-12-16,Premier League,Matchweek 17,W,2,1,Brighton,12,6,131,27.5,Match Report
2018-12-19,EFL Cup,Quarter-finals,W,1,0,Bournemouth,,5,,,Match Report
2018-12-22,Premier League,Matchweek 18,L,0,1,Leicester City,24,16,205,30.7,Match Report
2018-12-26,Premier League,Matchweek 19,W,2,1,Watford,15,8,271,28.8,Match Report
2018-12-30,Premier League,Matchweek 20,W,1,0,Crystal Palace,9,5,161,28.6,Match Report
2019-01-02,Premier League,Matchweek 21,D,0,0,Southampton,14,8,160,35.0,Match Report
2019-01-05,FA Cup,Third round,W,2,0,Nott'ham Forest,,6,,,Match Report
2019-01-08,EFL Cup,Semi-finals,L,0,1,Tottenham,,7,,,Match Report
2019-01-12,Premier League,Matchweek 22,W,2,1,Newcastle Utd,21,13,246,28.0,Match Report
2019-01-19,Premier League,Matchweek 23,L,0,2,Arsenal,14,9,235,33.2,Match Report
2019-01-24,EFL Cup,Semi-finals,W,2 (4),1 (2),Tottenham,,7,,,Match Report
2019-01-27,FA Cup,Fourth round,W,3,0,Sheffield Weds,,10,,,Match Report
2019-01-30,Premier League,Matchweek 24,L,0,4,Bournemouth,15,10,190,27.4,Match Report
2019-02-02,Premier League,Matchweek 25,W,5,0,Huddersfield,30,23,259,38.6,Match Report
2019-02-10,Premier League,Matchweek 26,L,0,6,Manchester City,25,19,251,19.5,Match Report
2019-02-14,Europa Lg,Round of 32,W,2,1,se Malmö,8,5,203,27.6,Match Report
2019-02-18,FA Cup,Fifth round,L,0,2,Manchester Utd,,15,,,Match Report
2019-02-21,Europa Lg,Round of 32,W,3,0,se Malmö,15,9,171,35.1,Match Report
2019-02-24,EFL Cup,Final,D,0 (3),0 (4),Manchester City,,14,,,Match Report
2019-02-27,Premier League,Matchweek 28,W,2,0,Tottenham,27,20,325,31.1,Match Report
2019-03-03,Premier League,Matchweek 29,W,2,1,Fulham,17,13,164,30.5,Match Report
2019-03-07,Europa Lg,Round of 16,W,3,0,ua Dynamo Kyiv,11,7,228,26.8,Match Report
2019-03-10,Premier League,Matchweek 30,D,1,1,Wolves,12,10,146,42.5,Match Report
2019-03-14,Europa Lg,Round of 16,W,5,0,ua Dynamo Kyiv,11,10,171,33.3,Match Report
2019-03-17,Premier League,Matchweek 31,L,0,2,Everton,19,11,132,36.4,Match Report
2019-03-31,Premier League,Matchweek 32,W,2,1,Cardiff City,14,8,83,33.7,Match Report
2019-04-03,Premier League,Matchweek 27,W,3,0,Brighton,23,14,192,27.1,Match Report
2019-04-08,Premier League,Matchweek 33,W,2,0,West Ham,14,11,112,29.5,Match Report
2019-04-11,Europa Lg,Quarter-finals,W,1,0,cz Slavia Prague,22,14,264,29.5,Match Report
2019-04-14,Premier League,Matchweek 34,L,0,2,Liverpool,26,15,234,20.1,Match Report
2019-04-18,Europa Lg,Quarter-finals,W,4,3,cz Slavia Prague,15,10,227,32.2,Match Report
2019-04-22,Premier League,Matchweek 35,D,2,2,Burnley,18,12,89,36.0,Match Report
2019-04-28,Premier League,Matchweek 36,D,1,1,Manchester Utd,19,15,180,20.0,Match Report
2019-05-02,Europa Lg,Semi-finals,D,1,1,de Eint Frankfurt,15,8,126,34.1,Match Report
2019-05-05,Premier League,Matchweek 37,W,3,0,Watford,24,14,168,26.8,Match Report
2019-05-09,Europa Lg,Semi-finals,W,1 (4),1 (3),de Eint Frankfurt,18,13,174,36.2,Match Report
2019-05-12,Premier League,Matchweek 38,D,0,0,Leicester City,16,14,124,22.6,Match Report
2019-05-29,Europa Lg,Final,W,4,1,eng Arsenal,14,8,163,19.6,
