Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
8/5/18,15:00 (07:00),Community Shield,FA Community Shield,Sun,Neutral,L,0,2,Manchester City,,,47,"72,724",César Azpilicueta,4/3/03,Jonathan Moss,Match Report,
8/11/18,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Huddersfield,1.9,0.6,63,"24,121",César Azpilicueta,4/3/03,Chris Kavanagh,Match Report,
8/18/18,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,3,2,Arsenal,2.3,2.1,62,"40,491",César Azpilicueta,4/3/03,Martin Atkinson,Match Report,
8/26/18,16:00 (08:00),Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,1.5,0.3,80,"51,791",César Azpilicueta,4-3-2-1,Paul Tierney,Match Report,
9/1/18,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,2,0,Bournemouth,1.4,0.9,72,"40,178",César Azpilicueta,4/3/03,Lee Mason,Match Report,
9/15/18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,4,1,Cardiff City,2.3,0.8,75,"40,499",César Azpilicueta,4-1-4-1,Jonathan Moss,Match Report,
9/20/18,19:55 (09:55),Europa Lg,Group stage,Thu,Away,W,1,0,gr PAOK,2.1,0.1,67,"24,310",Willian,4-3-2-1,Alberto Undiano,Match Report,
9/23/18,13:30 (05:30),Premier League,Matchweek 6,Sun,Away,D,0,0,West Ham,1.7,0.8,70,"56,875",César Azpilicueta,4-3-2-1,Mike Dean,Match Report,
9/26/18,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,1,Liverpool,,,54,"45,503",Gary Cahill,4/3/03,Kevin Friend,Match Report,
9/29/18,17:30 (09:30),Premier League,Matchweek 7,Sat,Home,D,1,1,Liverpool,1.3,1.3,46,"40,625",César Azpilicueta,4-1-4-1,Andre Marriner,Match Report,
10/4/18,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,hu Vidi,2.6,0.9,74,"39,925",Gary Cahill,4/3/03,Miroslav Zelinka,Match Report,
10/7/18,14:15 (06:15),Premier League,Matchweek 8,Sun,Away,W,3,0,Southampton,2.7,1.1,64,"27,077",César Azpilicueta,4-3-2-1,Craig Pawson,Match Report,
10/20/18,12:30 (04:30),Premier League,Matchweek 9,Sat,Home,D,2,2,Manchester Utd,1.8,0.8,62,"40,721",César Azpilicueta,4-3-2-1,Mike Dean,Match Report,
10/25/18,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,3,1,by BATE Borisov,2.4,0.5,68,"39,799",Gary Cahill,4-1-4-1,Paolo Mazzoleni,Match Report,
10/28/18,13:30 (06:30),Premier League,Matchweek 10,Sun,Away,W,4,0,Burnley,3,0.7,68,"21,430",César Azpilicueta,4-1-4-1,Craig Pawson,Match Report,
10/31/18,19:45 (12:45),EFL Cup,Fourth round,Wed,Home,W,3,2,Derby County,,,70,"39,564",Gary Cahill,4/3/03,Jonathan Moss,Match Report,
11/4/18,16:00 (08:00),Premier League,Matchweek 11,Sun,Home,W,3,1,Crystal Palace,1.6,0.6,73,"40,407",César Azpilicueta,4/3/03,Michael Oliver,Match Report,
