Name,Birthday,Value
"Ethan Ampadu

 Centre-Back","Sep 14, 2000 (17)",$11.00m
"Marco van Ginkel

 Central Midfield","Dec 1, 1992 (25)",$11.00m
"Ola Aina

 Right-Back","Oct 8, 1996 (21)",$11.00m
"Jamal Blackman

 Goalkeeper","Oct 27, 1993 (24)",$550Th.
"Lucas Piazón

 Left Winger","Jan 20, 1994 (24)",$1.65m
"Emerson

 Left-Back","Aug 3, 1994 (23)",$16.50m
"Charly Musonda Jr.

 Attacking Midfield","Oct 15, 1996 (21)",$2.20m
"Rob Green

 Goalkeeper","Jan 18, 1980 (38)",$275Th.
"David Luiz

 Centre-Back","Apr 22, 1987 (31)",$22.00m
"Álvaro Morata

 Centre-Forward","Oct 23, 1992 (25)",$55.00m
"César Azpilicueta

 Right-Back","Aug 28, 1989 (28)",$38.50m
"Andreas Christensen

 Centre-Back","Apr 10, 1996 (22)",$33.00m
"Gary Cahill

 Centre-Back","Dec 19, 1985 (32)",$8.80m
"Willian

 Right Winger","Aug 9, 1988 (29)",$44.00m
"Davide Zappacosta

 Right Midfield","Jun 11, 1992 (26)",$16.50m
"Callum Hudson-Odoi

 Left Winger","Nov 7, 2000 (17)",$38.50m
"Tammy Abraham

 Centre-Forward","Oct 2, 1997 (20)",$22.00m
"Olivier Giroud

 Centre-Forward","Sep 30, 1986 (31)",$16.50m
"Mateo Kovacic

 Central Midfield","May 6, 1994 (24)",$38.50m
"Victor Moses

 Right Midfield","Dec 12, 1990 (27)",$12.10m
"Tiemoué Bakayoko

 Defensive Midfield","Aug 17, 1994 (23)",$38.50m
"Willy Caballero

 Goalkeeper","Sep 28, 1981 (36)",$1.10m
"Ruben Loftus-Cheek

 Central Midfield","Jan 23, 1996 (22)",$33.00m
"Pedro

 Right Winger","Jul 28, 1987 (30)",$22.00m
"Eden Hazard

 Left Winger","Jan 7, 1991 (27)",$165.00m
"Gonzalo Higuaín

 Centre-Forward","Dec 10, 1987 (30)",$38.50m
"Ross Barkley

 Central Midfield","Dec 5, 1993 (24)",$33.00m
"N'Golo Kanté

 Central Midfield","Mar 29, 1991 (27)",$110.00m
"Danny Drinkwater

 Central Midfield","Mar 5, 1990 (28)",$8.80m
"Jorginho

 Defensive Midfield","Dec 20, 1991 (26)",$71.50m
"Cesc Fàbregas

 Central Midfield","May 4, 1987 (31)",$16.50m
"Marcos Alonso

 Left-Back","Dec 28, 1990 (27)",$44.00m
"Antonio Rüdiger

 Centre-Back","Mar 3, 1993 (25)",$55.00m
"Kepa

 Goalkeeper","Oct 3, 1994 (23)",$66.00m
