Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2014-08-24,21:00 ,La Liga,Matchweek 1,Sun,Home,W,3,0,Elche,832,784,48,13,4,131,16,,3,1,1,0,617,125,90,300,486,18,23,3,761,2,4,9,4,Match Report
2014-08-31,19:00 ,La Liga,Matchweek 2,Sun,Away,W,1,0,Villarreal,774,723,51,12,2,38,40,,10,0,7,0,541,105,128,266,446,24,22,9,676,3,5,23,10,Match Report
2014-09-13,16:00 ,La Liga,Matchweek 3,Sat,Home,W,2,0,Athletic Club,727,686,41,12,6,123,28,,5,0,3,0,515,56,156,242,415,32,20,8,598,5,10,5,17,Match Report
2014-09-17,20:45 ,Champions Lg,Group stage,Wed,Home,W,1,0,cy APOEL FC,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-09-21,21:00 ,La Liga,Matchweek 4,Sun,Away,W,5,0,Levante,855,817,38,13,6,84,24,,6,1,2,0,684,79,92,250,555,20,15,9,768,4,4,13,7,Match Report
2014-09-24,22:00 ,La Liga,Matchweek 5,Wed,Away,D,0,0,Málaga,634,578,56,15,0,56,27,,8,1,2,3,430,83,121,160,398,26,25,11,535,2,13,3,14,Match Report
2014-09-27,18:00 ,La Liga,Matchweek 6,Sat,Home,W,6,0,Granada,729,677,52,16,3,43,29,,8,1,4,0,525,113,91,184,500,16,20,6,634,3,8,9,19,Match Report
2014-09-30,20:45 ,Champions Lg,Group stage,Tue,Away,L,2,3,fr Paris S-G,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-10-04,18:00 ,La Liga,Matchweek 7,Sat,Away,W,2,0,Rayo Vallecano,533,477,56,20,3,34,18,,7,3,1,1,333,107,93,144,334,20,21,9,430,4,13,8,9,Match Report
2014-10-18,20:00 ,La Liga,Matchweek 8,Sat,Home,W,3,0,Eibar,695,649,46,13,5,58,23,,12,5,3,0,530,99,66,183,474,8,16,7,617,0,4,12,20,Match Report
2014-10-21,20:45 ,Champions Lg,Group stage,Tue,Home,W,3,1,nl Ajax,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-10-25,18:00 ,La Liga,Matchweek 9,Sat,Away,L,1,3,Real Madrid,634,590,44,8,0,52,17,,9,7,2,0,485,70,79,146,441,9,17,16,550,2,3,14,6,Match Report
2014-11-01,20:00 ,La Liga,Matchweek 10,Sat,Home,L,0,1,Celta Vigo,616,548,68,29,3,73,14,,9,2,2,0,408,134,74,201,361,15,24,10,500,2,7,16,16,Match Report
2014-11-05,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,0,nl Ajax,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-11-08,16:00 ,La Liga,Matchweek 11,Sat,Away,W,2,1,Almería,620,574,46,18,0,65,20,,5,3,2,0,438,82,100,219,357,15,13,10,534,2,10,3,10,Match Report
2014-11-22,20:00 ,La Liga,Matchweek 12,Sat,Home,W,5,1,Sevilla,765,708,57,24,6,183,18,,5,1,0,1,596,86,83,220,499,12,23,7,684,0,7,10,14,Match Report
2014-11-25,21:45 ,Champions Lg,Group stage,Tue,Away,W,4,0,cy APOEL FC,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-11-30,21:00 ,La Liga,Matchweek 13,Sun,Away,W,1,0,Valencia,756,710,46,12,1,87,25,,8,4,3,0,570,92,94,215,480,21,18,11,651,4,11,5,17,Match Report
2014-12-03,22:00 ,Copa del Rey,Round of 32,Wed,Away,W,4,0,Huesca,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-12-07,17:00 ,La Liga,Matchweek 14,Sun,Home,W,5,1,Espanyol,907,873,34,9,4,113,23,,5,2,2,0,728,87,92,230,632,13,15,13,822,7,9,9,8,Match Report
2014-12-10,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,fr Paris S-G,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-12-13,16:00 ,La Liga,Matchweek 15,Sat,Away,D,0,0,Getafe,806,748,58,25,1,197,9,,5,1,1,0,641,84,81,252,494,18,23,8,703,2,10,19,11,Match Report
2014-12-16,22:00 ,Copa del Rey,Round of 32,Tue,Home,W,8,1,Huesca,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
