Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2015-08-11,22:45 ,Super Cup,UEFA Super Cup,Tue,Home,W,5 (1),4 (0),es Sevilla,4,0,0,22,19,3,,,,,,0,,,,,Match Report
2015-08-14,22:00 ,Supercopa de España,Supercopa de España,Fri,Away,L,0,4,Athletic Club,4,0,0,,,,,,,,,0,,,,,Match Report
2015-08-17,22:00 ,Supercopa de España,Supercopa de España,Mon,Home,D,1,1,Athletic Club,2,1,0,,,,,,,,,0,,,,,Match Report
2015-08-23,18:30 ,La Liga,Matchweek 1,Sun,Away,W,1,0,Athletic Club,3,0,0,11,16,4,12,17,14,1,0,0,115,21,24,46.7,Match Report
2015-08-29,20:30 ,La Liga,Matchweek 2,Sat,Home,W,1,0,Málaga,0,0,0,4,20,4,25,10,13,0,0,0,99,16,8,66.7,Match Report
2015-09-12,20:30 ,La Liga,Matchweek 3,Sat,Away,W,2,1,Atlético Madrid,1,0,0,5,16,0,19,5,18,0,0,0,90,7,8,46.7,Match Report
2015-09-16,20:45 ,Champions Lg,Group stage,Wed,Away,D,1,1,it Roma,1,0,0,5,11,3,14,13,16,0,0,0,,,,,Match Report
2015-09-20,20:30 ,La Liga,Matchweek 4,Sun,Home,W,4,1,Levante,0,0,0,8,15,3,17,19,12,2,0,0,85,7,11,38.9,Match Report
2015-09-23,20:00 ,La Liga,Matchweek 5,Wed,Away,L,1,4,Celta Vigo,2,0,0,4,19,0,12,19,11,0,0,0,103,19,12,61.3,Match Report
2015-09-26,16:00 ,La Liga,Matchweek 6,Sat,Home,W,2,1,Las Palmas,2,0,0,12,22,6,12,14,18,0,0,0,96,16,12,57.1,Match Report
2015-09-29,20:45 ,Champions Lg,Group stage,Tue,Home,W,2,1,de Leverkusen,3,0,0,9,21,3,16,20,20,0,0,0,,,,,Match Report
2015-10-03,16:00 ,La Liga,Matchweek 7,Sat,Away,L,1,2,Sevilla,3,0,0,16,15,1,28,20,11,0,0,0,,,,,Match Report
2015-10-17,20:30 ,La Liga,Matchweek 8,Sat,Home,W,5,2,Rayo Vallecano,1,0,0,8,15,7,9,26,17,2,0,0,,,,,Match Report
2015-10-20,21:45 ,Champions Lg,Group stage,Tue,Away,W,2,0,by BATE Borisov,3,0,0,6,20,1,18,20,24,0,0,0,,,,,Match Report
2015-10-25,18:15 ,La Liga,Matchweek 9,Sun,Home,W,3,1,Eibar,3,1,0,14,17,3,16,14,12,0,0,0,,,,,Match Report
2015-10-28,20:30 ,Copa del Rey,Round of 32,Wed,Away,D,0,0,Villanovense,1,0,0,,,,,,,,,0,,,,,Match Report
2015-10-31,20:30 ,La Liga,Matchweek 10,Sat,Away,W,2,0,Getafe,0,0,0,3,10,5,27,18,12,0,0,0,,,,,Match Report
2015-11-04,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,0,by BATE Borisov,1,0,0,10,10,5,20,19,20,0,0,0,,,,,Match Report
2015-11-08,16:00 ,La Liga,Matchweek 11,Sun,Home,W,3,0,Villarreal,5,0,0,12,18,2,19,20,10,1,0,0,,,,,Match Report
2015-11-21,18:15 ,La Liga,Matchweek 12,Sat,Away,W,4,0,Real Madrid,2,0,0,10,13,0,6,12,11,0,0,0,85,13,9,59.1,Match Report
2015-11-24,20:45 ,Champions Lg,Group stage,Tue,Home,W,6,1,it Roma,3,0,0,13,11,9,9,9,18,0,0,0,,,,,Match Report
2015-11-28,16:00 ,La Liga,Matchweek 13,Sat,Home,W,4,0,Real Sociedad,0,0,0,11,14,4,10,10,11,0,0,0,97,9,9,50.0,Match Report
2015-12-02,20:00 ,Copa del Rey,Round of 32,Wed,Home,W,6,1,Villanovense,1,0,0,,,,,,,,,0,,,,,Match Report
2015-12-05,20:30 ,La Liga,Matchweek 14,Sat,Away,D,1,1,Valencia,1,0,0,15,13,3,11,16,7,0,0,0,113,18,11,62.1,Match Report
2015-12-09,20:45 ,Champions Lg,Group stage,Wed,Away,D,1,1,de Leverkusen,3,0,0,13,9,4,4,18,27,0,0,0,,,,,Match Report
2015-12-12,16:00 ,La Liga,Matchweek 15,Sat,Home,D,2,2,La Coruña,0,0,0,4,11,4,20,16,12,0,0,0,90,11,10,52.4,Match Report
