Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Match Report
2016-08-14,22:00 ,Supercopa de España,Supercopa de España,Sun,Away,W,2,0,Sevilla,2,0,0,,,,,,,,,0,Match Report
2016-08-17,23:00 ,Supercopa de España,Supercopa de España,Wed,Home,W,3,0,Sevilla,1,0,0,,,,,,,,,0,Match Report
2016-08-20,18:15 ,La Liga,Matchweek 1,Sat,Home,W,6,2,Betis,1,0,0,17,12,4,12,15,7,0,0,0,Match Report
2016-08-28,20:15 ,La Liga,Matchweek 2,Sun,Away,W,1,0,Athletic Club,4,0,0,14,18,6,9,15,7,0,0,0,Match Report
2016-09-10,20:30 ,La Liga,Matchweek 3,Sat,Home,L,1,2,Alavés,1,0,0,12,12,5,30,14,8,0,0,0,Match Report
2016-09-13,20:45 ,Champions Lg,Group stage,Tue,Home,W,7,0,sco Celtic,2,0,0,8,4,5,13,9,9,0,1,0,Match Report
2016-09-17,13:00 ,La Liga,Matchweek 4,Sat,Away,W,5,1,Leganés,2,0,0,7,27,3,7,11,14,1,0,0,Match Report
2016-09-21,22:00 ,La Liga,Matchweek 5,Wed,Home,D,1,1,Atlético Madrid,2,0,0,14,17,0,23,12,10,0,0,0,Match Report
2016-09-24,16:15 ,La Liga,Matchweek 6,Sat,Away,W,5,0,Sporting Gijón,0,0,0,10,15,5,13,18,10,0,0,0,Match Report
2016-09-28,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,1,de M'Gladbach,3,0,0,10,8,2,10,13,13,0,0,0,Match Report
2016-10-02,20:45 ,La Liga,Matchweek 7,Sun,Away,L,3,4,Celta Vigo,3,0,0,11,15,2,24,9,15,1,0,1,Match Report
2016-10-15,16:15 ,La Liga,Matchweek 8,Sat,Home,W,4,0,La Coruña,1,0,0,5,15,3,25,13,16,0,0,0,Match Report
2016-10-19,20:45 ,Champions Lg,Group stage,Wed,Home,W,4,0,eng Manchester City,1,1,1,16,15,2,5,9,18,1,0,0,Match Report
2016-10-22,16:15 ,La Liga,Matchweek 9,Sat,Away,W,3,2,Valencia,4,0,0,15,15,2,11,8,9,1,0,0,Match Report
2016-10-29,20:45 ,La Liga,Matchweek 10,Sat,Home,W,1,0,Granada,1,0,0,7,14,6,15,13,6,0,0,0,Match Report
2016-11-01,19:45 ,Champions Lg,Group stage,Tue,Away,L,1,3,eng Manchester City,3,0,0,16,15,2,11,9,16,0,0,0,Match Report
2016-11-06,20:45 ,La Liga,Matchweek 11,Sun,Away,W,2,1,Sevilla,6,0,0,12,18,0,10,22,16,0,0,0,Match Report
2016-11-19,16:15 ,La Liga,Matchweek 12,Sat,Home,D,0,0,Málaga,0,0,0,13,12,5,54,10,12,0,0,0,Match Report
2016-11-23,19:45 ,Champions Lg,Group stage,Wed,Away,W,2,0,sco Celtic,4,0,0,12,13,1,10,13,20,1,0,0,Match Report
2016-11-27,20:45 ,La Liga,Matchweek 13,Sun,Away,D,1,1,Real Sociedad,4,0,0,11,14,6,10,9,21,0,0,0,Match Report
2016-11-30,22:00 ,Copa del Rey,Round of 32,Wed,Away,D,1,1,Hércules,0,0,0,,,,,,,,,0,Match Report
2016-12-03,16:15 ,La Liga,Matchweek 14,Sat,Home,D,1,1,Real Madrid,4,0,0,19,15,1,12,16,18,0,0,0,Match Report
2016-12-06,20:45 ,Champions Lg,Group stage,Tue,Home,W,4,0,de M'Gladbach,0,0,0,7,5,1,13,12,13,0,0,0,Match Report
2016-12-10,13:00 ,La Liga,Matchweek 15,Sat,Away,W,3,0,Osasuna,0,0,0,6,18,3,9,6,18,0,0,0,Match Report
2016-12-18,20:45 ,La Liga,Matchweek 16,Sun,Home,W,4,1,Espanyol,0,0,0,11,16,3,10,16,14,0,0,0,Match Report
2016-12-21,22:00 ,Copa del Rey,Round of 32,Wed,Home,W,7,0,Hércules,1,0,0,,,,,,,,,0,Match Report
2017-01-05,21:15 ,Copa del Rey,Round of 16,Thu,Away,L,1,2,Athletic Club,4,0,0,,,,,,,,,0,Match Report
2017-01-08,20:45 ,La Liga,Matchweek 17,Sun,Away,D,1,1,Villarreal,2,0,0,13,16,2,22,6,13,0,0,0,Match Report
2017-01-11,21:15 ,Copa del Rey,Round of 16,Wed,Home,W,3,1,Athletic Club,1,0,0,,,,,,,,,0,Match Report
2017-01-14,16:15 ,La Liga,Matchweek 18,Sat,Home,W,5,0,Las Palmas,3,0,0,15,10,7,9,12,9,0,0,0,Match Report
2017-01-19,21:15 ,Copa del Rey,Quarter-finals,Thu,Away,W,1,0,Real Sociedad,2,0,0,,,,,,,,,0,Match Report
2017-01-22,20:45 ,La Liga,Matchweek 19,Sun,Away,W,4,0,Eibar,1,0,0,4,12,2,5,16,14,0,0,0,Match Report
2017-01-26,21:15 ,Copa del Rey,Quarter-finals,Thu,Home,W,5,2,Real Sociedad,3,0,0,,,,,,,,,0,Match Report
2017-01-29,12:00 ,La Liga,Matchweek 20,Sun,Away,D,1,1,Betis,3,0,0,12,17,2,12,5,16,0,0,0,Match Report
2017-02-01,21:00 ,Copa del Rey,Semi-finals,Wed,Away,W,2,1,Atlético Madrid,3,0,0,,,,,,,,,0,Match Report
2017-02-04,16:15 ,La Liga,Matchweek 21,Sat,Home,W,3,0,Athletic Club,1,0,0,11,18,0,7,9,15,0,0,0,Match Report
2017-02-07,21:00 ,Copa del Rey,Semi-finals,Tue,Home,D,1,1,Atlético Madrid,7,2,2,,,,,,,,,0,Match Report
2017-02-11,16:15 ,La Liga,Matchweek 22,Sat,Away,W,6,0,Alavés,3,0,0,9,15,3,16,6,12,0,0,0,Match Report
2017-02-14,20:45 ,Champions Lg,Round of 16,Tue,Away,L,0,4,fr Paris S-G,3,0,0,12,14,2,13,9,13,0,0,0,Match Report
2017-02-19,20:45 ,La Liga,Matchweek 23,Sun,Home,W,2,1,Leganés,1,0,0,9,18,0,11,15,9,1,0,0,Match Report
2017-02-26,16:15 ,La Liga,Matchweek 24,Sun,Away,W,2,1,Atlético Madrid,2,0,0,14,27,0,12,9,11,0,0,0,Match Report
2017-03-01,19:30 ,La Liga,Matchweek 25,Wed,Home,W,6,1,Sporting Gijón,1,0,0,14,12,4,10,12,9,0,0,0,Match Report
2017-03-04,20:45 ,La Liga,Matchweek 26,Sat,Home,W,5,0,Celta Vigo,1,0,0,10,15,3,11,10,11,0,0,0,Match Report
2017-03-08,20:45 ,Champions Lg,Round of 16,Wed,Home,W,6,1,fr Paris S-G,5,0,0,16,25,2,22,13,13,2,0,0,Match Report
2017-03-12,16:15 ,La Liga,Matchweek 27,Sun,Away,L,1,2,La Coruña,0,0,0,8,7,4,29,4,14,0,0,0,Match Report
2017-03-19,20:45 ,La Liga,Matchweek 28,Sun,Home,W,4,2,Valencia,3,0,0,4,12,2,9,10,13,1,0,0,Match Report
2017-04-02,20:45 ,La Liga,Matchweek 29,Sun,Away,W,4,1,Granada,3,0,0,10,15,7,20,7,16,0,0,0,Match Report
