Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,PK,PKatt,Match Report
2016-08-14,22:00 ,Supercopa de España,Supercopa de España,Sun,Away,W,2,0,Sevilla,2,,,,,,,0,0,Match Report
2016-08-17,23:00 ,Supercopa de España,Supercopa de España,Wed,Home,W,3,0,Sevilla,3,,,,,,,0,0,Match Report
2016-08-20,18:15 ,La Liga,Matchweek 1,Sat,Home,W,6,2,Betis,6,30,12,40.0,0.20,0.50,,0,0,Match Report
2016-08-28,20:15 ,La Liga,Matchweek 2,Sun,Away,W,1,0,Athletic Club,1,12,3,25.0,0.08,0.33,,0,0,Match Report
2016-09-10,20:30 ,La Liga,Matchweek 3,Sat,Home,L,1,2,Alavés,1,16,2,12.5,0.06,0.50,,0,0,Match Report
2016-09-13,20:45 ,Champions Lg,Group stage,Tue,Home,W,7,0,sco Celtic,7,15,10,66.7,0.47,0.70,,0,0,Match Report
2016-09-17,13:00 ,La Liga,Matchweek 4,Sat,Away,W,5,1,Leganés,5,10,7,70.0,0.40,0.57,,1,1,Match Report
2016-09-21,22:00 ,La Liga,Matchweek 5,Wed,Home,D,1,1,Atlético Madrid,1,19,7,36.8,0.05,0.14,,0,0,Match Report
2016-09-24,16:15 ,La Liga,Matchweek 6,Sat,Away,W,5,0,Sporting Gijón,5,13,7,53.8,0.38,0.71,,0,0,Match Report
2016-09-28,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,1,de M'Gladbach,2,11,8,72.7,0.18,0.25,,0,0,Match Report
2016-10-02,20:45 ,La Liga,Matchweek 7,Sun,Away,L,3,4,Celta Vigo,3,13,4,30.8,0.15,0.50,,1,1,Match Report
2016-10-15,16:15 ,La Liga,Matchweek 8,Sat,Home,W,4,0,La Coruña,4,25,8,32.0,0.16,0.50,,0,0,Match Report
2016-10-19,20:45 ,Champions Lg,Group stage,Wed,Home,W,4,0,eng Manchester City,4,12,7,58.3,0.33,0.57,,0,1,Match Report
2016-10-22,16:15 ,La Liga,Matchweek 9,Sat,Away,W,3,2,Valencia,3,15,8,53.3,0.13,0.25,,1,1,Match Report
2016-10-29,20:45 ,La Liga,Matchweek 10,Sat,Home,W,1,0,Granada,1,15,5,33.3,0.07,0.20,,0,0,Match Report
2016-11-01,19:45 ,Champions Lg,Group stage,Tue,Away,L,1,3,eng Manchester City,1,8,2,25.0,0.13,0.50,,0,0,Match Report
2016-11-06,20:45 ,La Liga,Matchweek 11,Sun,Away,W,2,1,Sevilla,2,14,7,50.0,0.14,0.29,,0,0,Match Report
2016-11-19,16:15 ,La Liga,Matchweek 12,Sat,Home,D,0,0,Málaga,0,28,8,28.6,0.00,0.00,,0,0,Match Report
2016-11-23,19:45 ,Champions Lg,Group stage,Wed,Away,W,2,0,sco Celtic,2,10,4,40.0,0.10,0.25,,1,1,Match Report
2016-11-27,20:45 ,La Liga,Matchweek 13,Sun,Away,D,1,1,Real Sociedad,1,10,2,20.0,0.10,0.50,,0,0,Match Report
2016-11-30,22:00 ,Copa del Rey,Round of 32,Wed,Away,D,1,1,Hércules,1,,,,,,,0,0,Match Report
2016-12-03,16:15 ,La Liga,Matchweek 14,Sat,Home,D,1,1,Real Madrid,1,11,3,27.3,0.09,0.33,,0,0,Match Report
2016-12-06,20:45 ,Champions Lg,Group stage,Tue,Home,W,4,0,de M'Gladbach,4,13,8,61.5,0.31,0.50,,0,0,Match Report
2016-12-10,13:00 ,La Liga,Matchweek 15,Sat,Away,W,3,0,Osasuna,3,17,6,35.3,0.18,0.50,,0,0,Match Report
2016-12-18,20:45 ,La Liga,Matchweek 16,Sun,Home,W,4,1,Espanyol,4,14,7,50.0,0.29,0.57,,0,0,Match Report
2016-12-21,22:00 ,Copa del Rey,Round of 32,Wed,Home,W,7,0,Hércules,7,,,,,,,1,1,Match Report
2017-01-05,21:15 ,Copa del Rey,Round of 16,Thu,Away,L,1,2,Athletic Club,1,,,,,,,0,0,Match Report
2017-01-08,20:45 ,La Liga,Matchweek 17,Sun,Away,D,1,1,Villarreal,1,20,7,35.0,0.05,0.14,,0,0,Match Report
2017-01-11,21:15 ,Copa del Rey,Round of 16,Wed,Home,W,3,1,Athletic Club,3,,,,,,,1,1,Match Report
2017-01-14,16:15 ,La Liga,Matchweek 18,Sat,Home,W,5,0,Las Palmas,5,22,10,45.5,0.23,0.50,,0,0,Match Report
2017-01-19,21:15 ,Copa del Rey,Quarter-finals,Thu,Away,W,1,0,Real Sociedad,1,,,,,,,1,1,Match Report
2017-01-22,20:45 ,La Liga,Matchweek 19,Sun,Away,W,4,0,Eibar,4,14,7,50.0,0.29,0.57,,0,0,Match Report
2017-01-26,21:15 ,Copa del Rey,Quarter-finals,Thu,Home,W,5,2,Real Sociedad,5,,,,,,,1,1,Match Report
