Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Match Report
2018-08-12,21:00 ,Supercopa de España,Supercopa de España,Sun,Neutral,W,2,1,Sevilla,,,,,,,,,,,,,,,,Match Report
2018-08-18,22:15 ,La Liga,Matchweek 1,Sat,Home,W,3,0,Alavés,37,31,0,2,1,2,1,6,4,0,1,0,1,0,0,Match Report
2018-08-25,22:15 ,La Liga,Matchweek 2,Sat,Away,W,1,0,Valladolid,16,14,0,1,0,1,0,2,2,0,0,0,0,0,0,Match Report
2018-09-02,18:30 ,La Liga,Matchweek 3,Sun,Home,W,8,2,Huesca,54,43,0,3,2,5,0,16,13,0,1,0,1,0,1,Match Report
2018-09-15,16:15 ,La Liga,Matchweek 4,Sat,Away,W,2,1,Real Sociedad,17,9,3,3,2,0,0,2,1,0,0,1,0,0,0,Match Report
2018-09-18,18:55 ,Champions Lg,Group stage,Tue,Home,W,4,0,nl PSV Eindhoven,36,30,3,1,0,2,0,7,4,1,1,0,1,0,0,Match Report
2018-09-23,20:45 ,La Liga,Matchweek 5,Sun,Home,D,2,2,Girona,38,27,2,4,1,4,0,3,1,0,1,1,0,0,0,Match Report
2018-09-26,20:00 ,La Liga,Matchweek 6,Wed,Away,L,1,2,Leganés,15,10,2,1,1,0,1,2,1,0,1,0,0,0,0,Match Report
2018-09-29,16:15 ,La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,35,26,1,1,3,4,0,2,1,0,0,1,0,0,0,Match Report
2018-10-03,20:00 ,Champions Lg,Group stage,Wed,Away,W,4,2,eng Tottenham,26,21,1,1,1,1,1,8,6,0,0,1,0,1,0,Match Report
2018-10-07,20:45 ,La Liga,Matchweek 8,Sun,Away,D,1,1,Valencia,18,11,0,5,0,1,1,2,2,0,0,0,0,0,0,Match Report
2018-10-20,20:45 ,La Liga,Matchweek 9,Sat,Home,W,4,2,Sevilla,42,35,1,2,2,1,1,7,5,0,1,0,1,0,0,Match Report
2018-10-24,21:00 ,Champions Lg,Group stage,Wed,Home,W,2,0,it Inter,37,26,1,3,3,3,1,4,4,0,0,0,0,0,0,Match Report
2018-10-28,16:15 ,La Liga,Matchweek 10,Sun,Home,W,5,1,Real Madrid,22,20,0,1,0,1,0,9,7,0,1,0,1,0,0,Match Report
2018-10-31,21:30 ,Copa del Rey,Round of 32,Wed,Away,W,1,0,Leonesa,,,,,,,,,,,,,,,,Match Report
2018-11-03,20:45 ,La Liga,Matchweek 11,Sat,Away,W,3,2,Rayo Vallecano,18,14,1,1,0,1,1,6,5,1,0,0,0,0,0,Match Report
2018-11-06,21:00 ,Champions Lg,Group stage,Tue,Away,D,1,1,it Inter,40,28,2,6,3,1,0,2,1,0,1,0,0,0,0,Match Report
2018-11-11,16:15 ,La Liga,Matchweek 12,Sun,Home,L,3,4,Betis,38,25,4,4,1,3,1,6,5,0,0,0,1,0,0,Match Report
2018-11-24,20:45 ,La Liga,Matchweek 13,Sat,Away,D,1,1,Atlético Madrid,9,5,0,1,0,3,0,2,2,0,0,0,0,0,0,Match Report
2018-11-28,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,nl PSV Eindhoven,39,26,3,2,5,2,1,3,2,0,0,1,0,0,0,Match Report
2018-12-02,18:30 ,La Liga,Matchweek 14,Sun,Home,W,2,0,Villarreal,27,19,2,3,1,2,0,4,3,1,0,0,0,0,0,Match Report
2018-12-05,21:30 ,Copa del Rey,Round of 32,Wed,Home,W,4,1,Leonesa,,,,,,,,,,,,,,,,Match Report
2018-12-08,20:45 ,La Liga,Matchweek 15,Sat,Away,W,4,0,Espanyol,32,20,2,0,5,5,0,8,6,0,0,0,2,0,0,Match Report
2018-12-11,21:00 ,Champions Lg,Group stage,Tue,Home,D,1,1,eng Tottenham,27,21,2,2,0,2,0,2,0,0,2,0,0,0,0,Match Report
2018-12-16,20:45 ,La Liga,Matchweek 16,Sun,Away,W,5,0,Levante,30,21,1,5,0,1,2,10,6,0,2,0,0,2,0,Match Report
2018-12-22,18:30 ,La Liga,Matchweek 17,Sat,Home,W,2,0,Celta Vigo,17,14,0,1,1,1,0,3,2,0,0,1,0,0,0,Match Report
2019-01-06,20:45 ,La Liga,Matchweek 18,Sun,Away,W,2,1,Getafe,18,13,1,1,1,2,0,1,0,0,0,1,0,0,0,Match Report
2019-01-10,21:30 ,Copa del Rey,Round of 16,Thu,Away,L,1,2,Levante,,,,,,,,,,,,,,,,Match Report
2019-01-13,18:30 ,La Liga,Matchweek 19,Sun,Home,W,3,0,Eibar,12,11,1,0,0,0,0,5,4,1,0,0,0,0,0,Match Report
2019-01-17,21:30 ,Copa del Rey,Round of 16,Thu,Home,W,3,0,Levante,,,,,,,,,,,,,,,,Match Report
2019-01-20,20:45 ,La Liga,Matchweek 20,Sun,Home,W,3,1,Leganés,22,18,0,2,1,1,0,5,4,0,0,1,0,0,0,Match Report
2019-01-23,21:30 ,Copa del Rey,Quarter-finals,Wed,Away,L,0,2,Sevilla,,,,,,,,,,,,,,,,Match Report
2019-01-27,16:15 ,La Liga,Matchweek 21,Sun,Away,W,2,0,Girona,24,20,0,2,0,2,0,2,2,0,0,0,0,0,0,Match Report
2019-01-30,21:30 ,Copa del Rey,Quarter-finals,Wed,Home,W,6,1,Sevilla,,,,,,,,,,,,,,,,Match Report
2019-02-02,18:30 ,La Liga,Matchweek 22,Sat,Home,D,2,2,Valencia,27,21,1,1,1,3,0,3,2,0,0,0,1,0,0,Match Report
2019-02-06,21:00 ,Copa del Rey,Semi-finals,Wed,Home,D,1,1,Real Madrid,,,,,,,,,,,,,,,,Match Report
2019-02-10,20:45 ,La Liga,Matchweek 23,Sun,Away,D,0,0,Athletic Club,21,16,2,1,0,2,0,0,0,0,0,0,0,0,0,Match Report
2019-02-16,20:45 ,La Liga,Matchweek 24,Sat,Home,W,1,0,Valladolid,38,27,0,4,4,2,1,2,0,0,0,1,1,0,0,Match Report
2019-02-19,21:00 ,Champions Lg,Round of 16,Tue,Away,D,0,0,fr Lyon,37,25,0,5,3,2,2,0,0,0,0,0,0,0,0,Match Report
2019-02-23,16:15 ,La Liga,Matchweek 25,Sat,Away,W,4,2,Sevilla,26,22,1,2,1,0,0,7,6,0,0,1,0,0,0,Match Report
2019-02-27,21:00 ,Copa del Rey,Semi-finals,Wed,Away,W,3,0,Real Madrid,,,,,,,,,,,,,,,,Match Report
2019-03-02,20:45 ,La Liga,Matchweek 26,Sat,Away,W,1,0,Real Madrid,17,14,0,0,1,2,0,2,2,0,0,0,0,0,0,Match Report
2019-03-09,18:30 ,La Liga,Matchweek 27,Sat,Home,W,3,1,Rayo Vallecano,22,14,3,0,0,5,0,6,3,1,0,0,2,0,0,Match Report
2019-03-13,21:00 ,Champions Lg,Round of 16,Wed,Home,W,5,1,fr Lyon,35,26,0,4,2,2,1,10,7,0,2,0,1,0,0,Match Report
2019-03-17,20:45 ,La Liga,Matchweek 28,Sun,Away,W,4,1,Betis,29,19,2,5,0,2,1,8,5,0,2,0,1,0,0,Match Report
2019-03-30,16:15 ,La Liga,Matchweek 29,Sat,Home,W,2,0,Espanyol,21,17,0,2,0,2,0,4,3,0,0,0,1,0,0,Match Report
2019-04-02,21:30 ,La Liga,Matchweek 30,Tue,Away,D,4,4,Villarreal,22,18,0,1,0,3,0,6,5,0,0,0,1,0,0,Match Report
2019-04-06,20:45 ,La Liga,Matchweek 31,Sat,Home,W,2,0,Atlético Madrid,34,26,0,5,1,1,1,2,2,0,0,0,0,0,0,Match Report
2019-04-10,20:00 ,Champions Lg,Quarter-finals,Wed,Away,W,1,0,eng Manchester Utd,10,7,0,0,0,2,0,2,1,0,0,0,0,0,1,Match Report
2019-04-13,16:15 ,La Liga,Matchweek 32,Sat,Away,D,0,0,Huesca,13,8,2,0,3,0,0,0,0,0,0,0,0,0,0,Match Report
2019-04-16,21:00 ,Champions Lg,Quarter-finals,Tue,Home,W,3,0,eng Manchester Utd,21,14,1,4,0,2,0,4,2,0,2,0,0,0,0,Match Report
2019-04-20,20:45 ,La Liga,Matchweek 33,Sat,Home,W,2,1,Real Sociedad,18,13,2,0,1,2,0,3,2,1,0,0,0,0,0,Match Report
2019-04-23,21:30 ,La Liga,Matchweek 34,Tue,Away,W,2,0,Alavés,29,21,0,4,2,2,0,4,2,0,1,0,1,0,0,Match Report
2019-04-27,20:45 ,La Liga,Matchweek 35,Sat,Home,W,1,0,Levante,43,32,1,7,0,2,1,2,1,0,1,0,0,0,0,Match Report
2019-05-01,21:00 ,Champions Lg,Semi-finals,Wed,Home,W,3,0,eng Liverpool,16,12,2,0,1,1,0,5,3,0,0,1,1,0,0,Match Report
