Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2019-08-16,21:00 ,La Liga,Matchweek 1,Fri,Away,L,0,1,Athletic Club,0,11,2,18.2,0.00,0.00,13.1,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
2019-08-25,21:00 ,La Liga,Matchweek 2,Sun,Home,W,5,2,Betis,5,21,7,33.3,0.24,0.71,15.5,0,0,0,1.8,1.8,0.09,+3.2,+3.2,Match Report
2019-08-31,17:00 ,La Liga,Matchweek 3,Sat,Away,D,2,2,Osasuna,2,8,4,50.0,0.25,0.50,20.3,0,0,0,0.3,0.3,0.04,+1.7,+1.7,Match Report
2019-09-14,21:00 ,La Liga,Matchweek 4,Sat,Home,W,5,2,Valencia,5,17,10,58.8,0.29,0.50,19.2,0,0,0,2.0,2.0,0.13,+3.0,+3.0,Match Report
2019-09-17,21:00 ,Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,0,7,1,14.3,0.00,0.00,13.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2019-09-21,21:00 ,La Liga,Matchweek 5,Sat,Away,L,0,2,Granada,0,8,1,12.5,0.00,0.00,20.9,2,0,0,0.7,0.7,0.09,-0.7,-0.7,Match Report
2019-09-24,21:00 ,La Liga,Matchweek 6,Tue,Home,W,2,1,Villarreal,2,9,4,44.4,0.22,0.50,15.4,1,0,0,0.7,0.7,0.07,+1.3,+1.3,Match Report
2019-09-28,16:00 ,La Liga,Matchweek 7,Sat,Away,W,2,0,Getafe,2,10,6,60.0,0.20,0.33,19.8,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Match Report
2019-10-02,21:00 ,Champions Lg,Group stage,Wed,Home,W,2,1,it Inter,2,17,7,41.2,0.12,0.29,20.9,2,0,0,1.3,1.3,0.08,+0.7,+0.7,Match Report
2019-10-06,21:00 ,La Liga,Matchweek 8,Sun,Home,W,4,0,Sevilla,4,15,8,53.3,0.27,0.50,20.2,3,0,0,2.0,2.0,0.13,+2.0,+2.0,Match Report
2019-10-19,13:00 ,La Liga,Matchweek 9,Sat,Away,W,3,0,Eibar,3,9,4,44.4,0.33,0.75,18.9,1,0,0,2.1,2.1,0.23,+0.9,+0.9,Match Report
2019-10-23,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,cz Slavia Prague,1,11,6,54.5,0.09,0.17,13.0,0,0,0,2.3,2.3,0.21,-1.3,-1.3,Match Report
2019-10-29,21:15 ,La Liga,Matchweek 11,Tue,Home,W,5,1,Valladolid,5,18,9,50.0,0.28,0.56,16.0,3,0,0,3.1,3.1,0.17,+1.9,+1.9,Match Report
2019-11-02,16:00 ,La Liga,Matchweek 12,Sat,Away,L,1,3,Levante,1,9,5,55.6,0.00,0.00,13.8,0,1,1,2.1,1.3,0.20,-1.1,-1.3,Match Report
2019-11-05,18:55 ,Champions Lg,Group stage,Tue,Home,D,0,0,cz Slavia Prague,0,14,6,42.9,0.00,0.00,16.7,3,0,0,2.0,2.0,0.14,-2.0,-2.0,Match Report
2019-11-09,21:00 ,La Liga,Matchweek 13,Sat,Home,W,4,1,Celta Vigo,4,8,6,75.0,0.38,0.50,20.3,2,1,1,1.7,0.9,0.13,+2.3,+2.1,Match Report
2019-11-23,13:00 ,La Liga,Matchweek 14,Sat,Away,W,2,1,Leganés,2,11,6,54.5,0.18,0.33,15.4,0,0,0,1.6,1.6,0.15,+0.4,+0.4,Match Report
2019-11-27,21:00 ,Champions Lg,Group stage,Wed,Home,W,3,1,de Dortmund,3,13,6,46.2,0.23,0.50,16.2,2,0,0,2.4,2.4,0.19,+0.6,+0.6,Match Report
2019-12-01,21:00 ,La Liga,Matchweek 15,Sun,Away,W,1,0,Atlético Madrid,1,13,5,38.5,0.08,0.20,20.1,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
2019-12-07,21:00 ,La Liga,Matchweek 16,Sat,Home,W,5,2,Mallorca,5,25,17,68.0,0.20,0.29,13.7,0,0,0,3.4,3.4,0.14,+1.6,+1.6,Match Report
2019-12-10,21:00 ,Champions Lg,Group stage,Tue,Away,W,2,1,it Inter,2,19,5,26.3,0.11,0.40,21.2,2,0,0,1.2,1.2,0.06,+0.8,+0.8,Match Report
