Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,PK,PKatt,Match Report
2016-08-15,20:00 ,Premier League,Matchweek 1,Mon,Home,W,2,1,West Ham,2,16,6,37.5,0.06,0.17,,1,1,Match Report
2016-08-20,15:00 ,Premier League,Matchweek 2,Sat,Away,W,2,1,Watford,2,14,4,28.6,0.14,0.50,,0,0,Match Report
2016-08-23,19:45 ,EFL Cup,Second round,Tue,Home,W,3,2,Bristol Rovers,3,28,12,42.9,0.11,0.25,,0,0,Match Report
2016-08-27,15:00 ,Premier League,Matchweek 3,Sat,Home,W,3,0,Burnley,3,22,10,45.5,0.14,0.30,,0,0,Match Report
2016-09-11,16:00 ,Premier League,Matchweek 4,Sun,Away,D,2,2,Swansea City,2,28,7,25.0,0.07,0.29,,0,0,Match Report
2016-09-16,20:00 ,Premier League,Matchweek 5,Fri,Home,L,1,2,Liverpool,1,12,4,33.3,0.08,0.25,,0,0,Match Report
2016-09-20,19:45 ,EFL Cup,Third round,Tue,Away,W,4,2,Leicester City,4,27,11,40.7,0.15,0.36,,0,0,Match Report
2016-09-24,17:30 ,Premier League,Matchweek 6,Sat,Away,L,0,3,Arsenal,0,9,2,22.2,0.00,0.00,,0,0,Match Report
2016-10-01,15:00 ,Premier League,Matchweek 7,Sat,Away,W,2,0,Hull City,2,22,9,40.9,0.09,0.22,,0,0,Match Report
2016-10-15,12:30 ,Premier League,Matchweek 8,Sat,Home,W,3,0,Leicester City,3,16,6,37.5,0.19,0.50,,0,0,Match Report
2016-10-23,16:00 ,Premier League,Matchweek 9,Sun,Home,W,4,0,Manchester Utd,4,14,6,42.9,0.29,0.67,,0,0,Match Report
2016-10-26,19:45 ,EFL Cup,Fourth round,Wed,Away,L,1,2,West Ham,1,16,4,25.0,0.06,0.25,,0,0,Match Report
2016-10-30,16:00 ,Premier League,Matchweek 10,Sun,Away,W,2,0,Southampton,2,13,7,53.8,0.15,0.29,,0,0,Match Report
2016-11-05,17:30 ,Premier League,Matchweek 11,Sat,Home,W,5,0,Everton,5,21,9,42.9,0.24,0.56,,0,0,Match Report
