Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Match Report
2017-08-06,14:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,1 (1),1 (4),Arsenal,,,,,,,,,,,,,,,,Match Report
2017-08-12,15:00 ,Premier League,Matchweek 1,Sat,Home,L,2,3,Burnley,28,21,2,2,1,2,0,4,4,0,0,0,0,0,0,Match Report
2017-08-20,16:00 ,Premier League,Matchweek 2,Sun,Away,W,2,1,Tottenham,19,14,1,1,1,1,1,3,2,0,0,0,1,0,0,Match Report
2017-08-27,13:30 ,Premier League,Matchweek 3,Sun,Home,W,2,0,Everton,32,25,1,3,1,0,2,3,3,0,0,0,0,0,0,Match Report
2017-09-09,15:00 ,Premier League,Matchweek 4,Sat,Away,W,2,1,Leicester City,27,24,0,2,0,1,0,4,4,0,0,0,0,0,0,Match Report
2017-09-12,19:45 ,Champions Lg,Group stage,Tue,Home,W,6,0,az Qarabağ FK,,,,,,,,,,,,,,,,Match Report
2017-09-17,13:30 ,Premier League,Matchweek 5,Sun,Home,D,0,0,Arsenal,18,13,1,1,0,3,0,0,0,0,0,0,0,0,0,Match Report
2017-09-20,19:45 ,EFL Cup,Third round,Wed,Home,W,5,1,Nott'ham Forest,,,,,,,,,,,,,,,,Match Report
2017-09-23,15:00 ,Premier League,Matchweek 6,Sat,Away,W,4,0,Stoke City,10,8,0,1,1,0,0,4,4,0,0,0,0,0,0,Match Report
2017-09-27,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,1,es Atlético Madrid,,,,,,,,,,,,,,,,Match Report
2017-09-30,17:30 ,Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,6,2,2,0,0,2,0,0,0,0,0,0,0,0,0,Match Report
2017-10-14,15:00 ,Premier League,Matchweek 8,Sat,Away,L,1,2,Crystal Palace,23,15,4,0,1,1,2,3,1,1,0,0,0,1,0,Match Report
2017-10-18,19:45 ,Champions Lg,Group stage,Wed,Home,D,3,3,it Roma,,,,,,,,,,,,,,,,Match Report
2017-10-21,12:30 ,Premier League,Matchweek 9,Sat,Home,W,4,2,Watford,20,15,2,0,1,1,1,5,5,0,0,0,0,0,0,Match Report
2017-10-25,19:45 ,EFL Cup,Fourth round,Wed,Home,W,2,1,Everton,,,,,,,,,,,,,,,,Match Report
2017-10-28,17:30 ,Premier League,Matchweek 10,Sat,Away,W,1,0,Bournemouth,30,24,1,2,1,0,2,2,1,0,1,0,0,0,0,Match Report
2017-10-31,20:45 ,Champions Lg,Group stage,Tue,Away,L,0,3,it Roma,,,,,,,,,,,,,,,,Match Report
2017-11-05,16:30 ,Premier League,Matchweek 11,Sun,Home,W,1,0,Manchester Utd,27,19,4,0,1,2,1,2,2,0,0,0,0,0,0,Match Report
2017-11-18,15:00 ,Premier League,Matchweek 12,Sat,Away,W,4,0,West Brom,17,11,1,3,1,1,0,7,2,1,2,1,1,0,0,Match Report
2017-11-22,21:00 ,Champions Lg,Group stage,Wed,Away,W,4,0,az Qarabağ FK,,,,,,,,,,,,,,,,Match Report
2017-11-25,17:30 ,Premier League,Matchweek 13,Sat,Away,D,1,1,Liverpool,21,13,4,1,2,1,0,2,2,0,0,0,0,0,0,Match Report
2017-11-29,19:45 ,Premier League,Matchweek 14,Wed,Home,W,1,0,Swansea City,34,21,7,1,4,1,0,1,0,0,0,1,0,0,0,Match Report
2017-12-02,12:30 ,Premier League,Matchweek 15,Sat,Home,W,3,1,Newcastle Utd,32,25,2,2,2,1,0,3,2,0,0,0,1,0,0,Match Report
2017-12-05,19:45 ,Champions Lg,Group stage,Tue,Home,D,1,1,es Atlético Madrid,,,,,,,,,,,,,,,,Match Report
2017-12-09,12:30 ,Premier League,Matchweek 16,Sat,Away,L,0,1,West Ham,26,24,1,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
2017-12-12,20:00 ,Premier League,Matchweek 17,Tue,Away,W,3,1,Huddersfield,17,14,1,0,1,1,0,5,5,0,0,0,0,0,0,Match Report
2017-12-16,15:00 ,Premier League,Matchweek 18,Sat,Home,W,1,0,Southampton,39,32,1,3,0,2,1,2,1,0,0,0,1,0,0,Match Report
2017-12-20,19:45 ,EFL Cup,Quarter-finals,Wed,Home,W,2,1,Bournemouth,,,,,,,,,,,,,,,,Match Report
2017-12-23,12:30 ,Premier League,Matchweek 19,Sat,Away,D,0,0,Everton,34,23,2,1,6,1,1,0,0,0,0,0,0,0,0,Match Report
2017-12-26,15:00 ,Premier League,Matchweek 20,Tue,Home,W,2,0,Brighton,48,36,3,5,2,2,0,3,2,1,0,0,0,0,0,Match Report
2017-12-30,15:00 ,Premier League,Matchweek 21,Sat,Home,W,5,0,Stoke City,35,23,3,3,2,3,1,7,1,1,1,1,2,1,0,Match Report
2018-01-03,19:45 ,Premier League,Matchweek 22,Wed,Away,D,2,2,Arsenal,37,22,4,2,4,4,1,3,1,0,1,0,1,0,0,Match Report
2018-01-06,17:30 ,FA Cup,Third round,Sat,Away,D,0,0,Norwich City,,,,,,,,,,,,,,,,Match Report
2018-01-10,20:00 ,EFL Cup,Semi-finals,Wed,Home,D,0,0,Arsenal,,,,,,,,,,,,,,,,Match Report
2018-01-13,15:00 ,Premier League,Matchweek 23,Sat,Home,D,0,0,Leicester City,31,26,0,4,0,1,0,0,0,0,0,0,0,0,0,Match Report
2018-01-17,19:45 ,FA Cup,Third round,Wed,Home,D,1 (5),1 (3),Norwich City,,,,,,,,,,,,,,,,Match Report
2018-01-20,12:30 ,Premier League,Matchweek 24,Sat,Away,W,4,0,Brighton,25,17,1,4,0,3,0,7,7,0,0,0,0,0,0,Match Report
2018-01-24,20:00 ,EFL Cup,Semi-finals,Wed,Away,L,1,2,Arsenal,,,,,,,,,,,,,,,,Match Report
2018-01-28,13:30 ,FA Cup,Fourth round,Sun,Home,W,3,0,Newcastle Utd,,,,,,,,,,,,,,,,Match Report
2018-01-31,19:45 ,Premier League,Matchweek 25,Wed,Home,L,0,3,Bournemouth,37,30,2,2,1,2,0,0,0,0,0,0,0,0,0,Match Report
2018-02-05,20:00 ,Premier League,Matchweek 26,Mon,Away,L,1,4,Watford,9,9,0,0,0,0,0,2,2,0,0,0,0,0,0,Match Report
2018-02-12,20:00 ,Premier League,Matchweek 27,Mon,Home,W,3,0,West Brom,39,28,3,2,1,3,2,6,6,0,0,0,0,0,0,Match Report
2018-02-16,20:00 ,FA Cup,Fifth round,Fri,Home,W,4,0,Hull City,,,,,,,,,,,,,,,,Match Report
2018-02-20,19:45 ,Champions Lg,Round of 16,Tue,Home,D,1,1,es Barcelona,,,,,,,,,,,,,,,,Match Report
2018-02-25,14:05 ,Premier League,Matchweek 28,Sun,Away,L,1,2,Manchester Utd,25,19,1,2,2,1,0,2,2,0,0,0,0,0,0,Match Report
2018-03-04,16:00 ,Premier League,Matchweek 29,Sun,Away,L,0,1,Manchester City,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2018-03-10,17:30 ,Premier League,Matchweek 30,Sat,Home,W,2,1,Crystal Palace,49,43,1,0,4,1,0,3,2,0,0,1,0,0,0,Match Report
2018-03-14,20:45 ,Champions Lg,Round of 16,Wed,Away,L,0,3,es Barcelona,,,,,,,,,,,,,,,,Match Report
2018-03-18,16:30 ,FA Cup,Quarter-finals,Sun,Away,W,2,1,Leicester City,,,,,,,,,,,,,,,,Match Report
2018-04-01,16:00 ,Premier League,Matchweek 32,Sun,Home,L,1,3,Tottenham,22,18,2,1,0,0,1,2,2,0,0,0,0,0,0,Match Report
2018-04-08,16:30 ,Premier League,Matchweek 33,Sun,Home,D,1,1,West Ham,43,33,4,1,4,0,1,2,1,0,0,1,0,0,0,Match Report
2018-04-14,12:30 ,Premier League,Matchweek 34,Sat,Away,W,3,2,Southampton,25,20,3,1,0,0,1,4,3,1,0,0,0,0,0,Match Report
2018-04-19,19:45 ,Premier League,Matchweek 31,Thu,Away,W,2,1,Burnley,31,25,1,2,1,1,1,4,4,0,0,0,0,0,0,Match Report
2018-04-22,15:00 ,FA Cup,Semi-finals,Sun,Home,W,2,0,Southampton,,,,,,,,,,,,,,,,Match Report
2018-04-28,17:30 ,Premier League,Matchweek 36,Sat,Away,W,1,0,Swansea City,19,11,2,1,2,1,2,2,1,0,0,0,1,0,0,Match Report
2018-05-06,16:30 ,Premier League,Matchweek 37,Sun,Home,W,1,0,Liverpool,23,17,1,2,2,1,0,2,2,0,0,0,0,0,0,Match Report
2018-05-09,19:45 ,Premier League,Matchweek 35,Wed,Home,D,1,1,Huddersfield,38,26,5,1,4,2,0,0,0,0,0,0,0,0,0,Match Report
2018-05-13,15:00 ,Premier League,Matchweek 38,Sun,Away,L,0,3,Newcastle Utd,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
2018-05-19,17:15 ,FA Cup,Final,Sat,Home,W,1,0,Manchester Utd,,,,,,,,,,,,,,,,Match Report
