Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Match Report
2017-08-06,14:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,1 (1),1 (4),Arsenal,,,,,,,,,,,,,,,,,,,,,Match Report
2017-08-12,15:00 ,Premier League,Matchweek 1,Sat,Home,L,2,3,Burnley,647,50,218,268,215,22,616,9,12,75.0,10,0,424,3212,1718,514,455,88.5,12,5,Match Report
2017-08-20,16:00 ,Premier League,Matchweek 2,Sun,Away,W,2,1,Tottenham,449,83,225,166,85,15,416,12,21,57.1,14,0,240,1575,889,254,210,82.7,7,12,Match Report
2017-08-27,13:30 ,Premier League,Matchweek 3,Sun,Home,W,2,0,Everton,738,70,223,373,188,27,692,17,31,54.8,20,1,491,3121,1794,588,528,89.8,8,7,Match Report
2017-09-09,15:00 ,Premier League,Matchweek 4,Sat,Away,W,2,1,Leicester City,646,53,215,298,192,28,619,11,15,73.3,12,0,406,3042,1846,479,420,87.7,13,10,Match Report
2017-09-12,19:45 ,Champions Lg,Group stage,Tue,Home,W,6,0,az Qarabağ FK,,,,,,,,,,,,,,,,,,,,,Match Report
2017-09-17,13:30 ,Premier League,Matchweek 5,Sun,Home,D,0,0,Arsenal,661,55,254,281,170,18,631,7,16,43.8,9,0,452,2623,1245,505,410,81.2,12,13,Match Report
2017-09-20,19:45 ,EFL Cup,Third round,Wed,Home,W,5,1,Nott'ham Forest,,,,,,,,,,,,,,,,,,,,,Match Report
2017-09-23,15:00 ,Premier League,Matchweek 6,Sat,Away,W,4,0,Stoke City,662,69,252,331,130,15,644,11,14,78.6,11,0,496,3123,1459,453,449,99.1,8,12,Match Report
2017-09-27,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,1,es Atlético Madrid,,,,,,,,,,,,,,,,,,,,,Match Report
