Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2018-08-05,15:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,0,2,Manchester City,0,0,0,6,10,1,10,7,11,0,0,0,,,,,Match Report
2018-08-11,15:00 ,Premier League,Matchweek 1,Sat,Away,W,3,0,Huddersfield,1,0,0,8,8,1,6,10,7,1,0,0,86,7,10,41.2,Match Report
2018-08-18,17:30 ,Premier League,Matchweek 2,Sat,Home,W,3,2,Arsenal,0,0,0,12,9,3,16,5,9,0,0,0,86,6,4,60.0,Match Report
2018-08-26,16:00 ,Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,1,0,0,8,16,2,15,1,7,1,0,0,94,7,8,46.7,Match Report
2018-09-01,15:00 ,Premier League,Matchweek 4,Sat,Home,W,2,0,Bournemouth,2,0,0,10,7,2,19,8,3,0,0,0,109,4,4,50.0,Match Report
2018-09-15,15:00 ,Premier League,Matchweek 5,Sat,Home,W,4,1,Cardiff City,0,0,0,8,10,0,9,5,7,1,0,0,112,5,5,50.0,Match Report
2018-09-20,19:55 ,Europa Lg,Group stage,Thu,Away,W,1,0,gr PAOK,2,0,0,13,6,2,15,6,5,0,0,0,77,9,9,50.0,Match Report
2018-09-23,13:30 ,Premier League,Matchweek 6,Sun,Away,D,0,0,West Ham,1,0,0,9,11,3,20,6,6,0,0,0,115,3,3,50.0,Match Report
2018-09-26,19:45 ,EFL Cup,Third round,Wed,Away,W,2,1,Liverpool,3,0,0,10,16,5,14,16,11,0,0,0,,,,,Match Report
2018-09-29,17:30 ,Premier League,Matchweek 7,Sat,Home,D,1,1,Liverpool,0,0,0,7,9,2,9,13,10,0,0,0,92,10,9,52.6,Match Report
2018-10-04,20:00 ,Europa Lg,Group stage,Thu,Home,W,1,0,hu Vidi,1,0,0,9,14,1,14,11,9,0,0,0,71,6,6,50.0,Match Report
2018-10-07,14:15 ,Premier League,Matchweek 8,Sun,Away,W,3,0,Southampton,0,0,0,11,14,0,11,5,7,0,0,0,83,12,7,63.2,Match Report
2018-10-20,12:30 ,Premier League,Matchweek 9,Sat,Home,D,2,2,Manchester Utd,2,0,0,10,15,2,15,11,6,0,0,0,98,11,10,52.4,Match Report
2018-10-25,20:00 ,Europa Lg,Group stage,Thu,Home,W,3,1,by BATE Borisov,0,0,0,6,10,0,17,9,11,0,0,0,88,5,7,41.7,Match Report
2018-10-28,13:30 ,Premier League,Matchweek 10,Sun,Away,W,4,0,Burnley,2,0,0,10,14,0,6,4,7,0,0,0,69,13,11,54.2,Match Report
2018-10-31,19:45 ,EFL Cup,Fourth round,Wed,Home,W,3,2,Derby County,1,0,0,10,13,2,24,12,10,0,0,0,,,,,Match Report
2018-11-04,16:00 ,Premier League,Matchweek 11,Sun,Home,W,3,1,Crystal Palace,0,0,0,6,13,6,17,5,14,0,0,0,87,4,5,44.4,Match Report
2018-11-08,20:55 ,Europa Lg,Group stage,Thu,Away,W,1,0,by BATE Borisov,0,0,0,5,14,0,12,5,5,0,0,0,103,11,5,68.8,Match Report
2018-11-11,14:15 ,Premier League,Matchweek 12,Sun,Home,D,0,0,Everton,4,0,0,7,11,5,13,5,13,0,0,0,86,4,13,23.5,Match Report
2018-11-24,17:30 ,Premier League,Matchweek 13,Sat,Away,L,1,3,Tottenham,3,0,0,12,20,5,20,16,14,0,0,0,86,14,9,60.9,Match Report
2018-11-29,20:00 ,Europa Lg,Group stage,Thu,Home,W,4,0,gr PAOK,1,0,0,9,10,2,18,4,14,0,0,0,64,7,3,70.0,Match Report
2018-12-02,12:00 ,Premier League,Matchweek 14,Sun,Home,W,2,0,Fulham,2,0,0,8,17,0,13,8,7,0,0,0,97,10,6,62.5,Match Report
2018-12-05,19:45 ,Premier League,Matchweek 15,Wed,Away,L,1,2,Wolves,4,0,0,10,18,0,11,10,10,0,0,0,95,13,13,50.0,Match Report
