Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2018-08-05,15:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,0,2,Manchester City,,,,,,,,10,,,,,,,,,,,,,,,,,,Match Report
2018-08-11,15:00 ,Premier League,Matchweek 1,Sat,Away,W,3,0,Huddersfield,682,642,40,6,0,100,14,6,5,0,0,0,566,46,70,149,478,20,24,6,597,1,8,13,11,Match Report
2018-08-18,17:30 ,Premier League,Matchweek 2,Sat,Home,W,3,2,Arsenal,732,701,31,3,1,85,18,16,4,0,0,0,612,41,79,148,533,28,14,4,639,2,11,5,10,Match Report
2018-08-26,16:00 ,Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,931,897,34,7,0,160,11,15,5,0,0,0,809,33,89,174,712,16,17,6,830,1,8,11,13,Match Report
2018-09-01,15:00 ,Premier League,Matchweek 4,Sat,Home,W,2,0,Bournemouth,747,707,40,7,0,32,3,19,7,0,0,0,589,79,79,160,531,29,16,8,633,2,10,9,12,Match Report
2018-09-15,15:00 ,Premier League,Matchweek 5,Sat,Home,W,4,1,Cardiff City,795,757,38,8,1,107,19,9,5,0,0,0,664,44,87,152,580,35,15,10,698,0,11,8,14,Match Report
2018-09-20,19:55 ,Europa Lg,Group stage,Thu,Away,W,1,0,gr PAOK,744,697,47,9,0,121,20,15,11,0,0,0,605,57,82,142,557,11,21,6,658,3,13,13,14,Match Report
2018-09-23,13:30 ,Premier League,Matchweek 6,Sun,Away,D,0,0,West Ham,816,764,52,11,0,126,12,20,8,0,0,0,635,47,134,144,610,36,22,3,688,3,9,24,17,Match Report
2018-09-26,19:45 ,EFL Cup,Third round,Wed,Away,W,2,1,Liverpool,,,,,,,,14,,,,,,,,,,,,,,,,,,Match Report
2018-09-29,17:30 ,Premier League,Matchweek 7,Sat,Home,D,1,1,Liverpool,577,531,46,11,0,126,12,9,4,0,0,0,441,65,71,100,418,30,16,5,470,1,7,14,11,Match Report
2018-10-04,20:00 ,Europa Lg,Group stage,Thu,Home,W,1,0,hu Vidi,752,686,66,17,3,74,28,14,18,0,0,0,626,60,66,123,573,23,23,5,661,1,7,18,14,Match Report
2018-10-07,14:15 ,Premier League,Matchweek 8,Sun,Away,W,3,0,Southampton,697,639,58,13,4,100,14,11,12,0,0,0,536,46,115,149,491,19,24,5,606,0,7,11,17,Match Report
2018-10-20,12:30 ,Premier League,Matchweek 9,Sat,Home,D,2,2,Manchester Utd,651,598,53,17,1,83,9,15,5,0,0,0,501,63,87,113,490,16,23,6,568,1,6,13,9,Match Report
2018-10-25,20:00 ,Europa Lg,Group stage,Thu,Home,W,3,1,by BATE Borisov,828,782,46,13,0,19,9,17,7,0,0,0,665,72,91,151,627,17,22,7,750,0,8,12,10,Match Report
2018-10-28,13:30 ,Premier League,Matchweek 10,Sun,Away,W,4,0,Burnley,811,764,47,19,3,86,22,6,4,0,0,0,678,56,77,153,625,10,17,3,740,0,7,10,15,Match Report
2018-10-31,19:45 ,EFL Cup,Fourth round,Wed,Home,W,3,2,Derby County,,,,,,,,24,,,,,,,,,,,,,,,,,,Match Report
2018-11-04,16:00 ,Premier League,Matchweek 11,Sun,Home,W,3,1,Crystal Palace,910,865,45,14,0,68,27,17,4,0,0,0,776,59,75,172,687,18,21,9,816,5,8,13,16,Match Report
2018-11-08,20:55 ,Europa Lg,Group stage,Thu,Away,W,1,0,by BATE Borisov,881,827,54,14,1,99,12,12,6,0,0,0,735,86,60,180,639,24,25,7,782,0,11,14,7,Match Report
2018-11-11,14:15 ,Premier League,Matchweek 12,Sun,Home,D,0,0,Everton,733,678,55,17,3,44,20,13,5,0,0,0,568,63,102,141,538,22,23,5,636,5,13,13,7,Match Report
2018-11-24,17:30 ,Premier League,Matchweek 13,Sat,Away,L,1,3,Tottenham,594,536,58,20,1,82,27,20,4,0,0,0,432,38,124,104,429,20,20,9,490,5,11,8,13,Match Report
2018-11-29,20:00 ,Europa Lg,Group stage,Thu,Home,W,4,0,gr PAOK,671,629,42,8,4,35,27,18,12,0,0,0,557,25,89,122,507,15,19,3,604,2,3,5,13,Match Report
2018-12-02,12:00 ,Premier League,Matchweek 14,Sun,Home,W,2,0,Fulham,750,699,51,15,1,46,30,13,4,0,0,0,624,33,93,155,536,22,22,9,657,0,11,7,12,Match Report
2018-12-05,19:45 ,Premier League,Matchweek 15,Wed,Away,L,1,2,Wolves,720,662,58,20,3,63,14,11,5,0,0,0,589,56,75,132,535,15,24,5,623,0,7,17,13,Match Report
2018-12-08,17:30 ,Premier League,Matchweek 16,Sat,Home,W,2,0,Manchester City,450,408,42,12,2,109,11,6,1,0,0,0,324,30,96,86,311,13,22,9,371,0,8,11,8,Match Report
2018-12-13,18:55 ,Europa Lg,Group stage,Thu,Away,D,2,2,hu Vidi,750,701,49,13,2,97,19,13,11,0,0,0,600,71,79,149,547,22,19,6,659,6,13,14,7,Match Report
2018-12-16,13:30 ,Premier League,Matchweek 17,Sun,Away,W,2,1,Brighton,664,624,40,16,0,106,15,4,1,0,0,0,492,104,68,119,504,13,15,10,572,4,7,7,14,Match Report
2018-12-19,19:45 ,EFL Cup,Quarter-finals,Wed,Home,W,1,0,Bournemouth,,,,,,,,19,,,,,,,,,,,,,,,,,,Match Report
2018-12-22,15:00 ,Premier League,Matchweek 18,Sat,Home,L,0,1,Leicester City,759,712,47,11,5,103,21,16,9,0,0,0,588,77,94,131,564,30,20,9,639,3,13,16,23,Match Report
2018-12-26,19:30 ,Premier League,Matchweek 19,Wed,Away,W,2,1,Watford,752,713,39,13,5,237,13,8,4,0,0,0,571,89,92,150,542,28,13,12,662,2,7,13,12,Match Report
