Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2019-08-11,16:30 ,Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,0,18,7,38.9,0.00,0.00,18.6,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Match Report
2019-08-14,22:00 ,Super Cup,UEFA Super Cup,Wed,Away,L,2 (4),2 (5),eng Liverpool,2,20,6,30.0,0.05,0.17,,,1,1,,,,,,Match Report
2019-08-18,16:30 ,Premier League,Matchweek 2,Sun,Home,D,1,1,Leicester City,1,14,5,35.7,0.07,0.20,17.7,1,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report
2019-08-24,12:30 ,Premier League,Matchweek 3,Sat,Away,W,3,2,Norwich City,3,24,8,33.3,0.13,0.38,18.9,0,0,0,2.1,2.1,0.09,+0.9,+0.9,Match Report
2019-08-31,15:00 ,Premier League,Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,2,13,5,38.5,0.15,0.40,15.0,1,0,0,1.7,1.7,0.14,+0.3,+0.3,Match Report
2019-09-14,15:00 ,Premier League,Matchweek 5,Sat,Away,W,5,2,Wolves,5,15,6,40.0,0.33,0.83,13.6,0,0,0,1.9,1.9,0.12,+3.1,+3.1,Match Report
2019-09-17,20:00 ,Champions Lg,Group stage,Tue,Home,L,0,1,es Valencia,0,21,6,28.6,0.00,0.00,15.7,2,0,1,2.3,1.5,0.08,-2.3,-1.5,Match Report
2019-09-22,16:30 ,Premier League,Matchweek 6,Sun,Home,L,1,2,Liverpool,1,13,2,15.4,0.08,0.50,15.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
2019-09-25,19:45 ,EFL Cup,Third round,Wed,Home,W,7,1,Grimsby Town,7,24,10,41.7,0.25,0.60,,,1,1,,,,,,Match Report
2019-09-28,15:00 ,Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,2,23,9,39.1,0.04,0.11,16.6,0,1,1,3.2,2.5,0.11,-1.2,-1.5,Match Report
2019-10-02,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,fr Lille,2,11,3,27.3,0.18,0.67,14.6,1,0,0,1.1,1.1,0.10,+0.9,+0.9,Match Report
2019-10-06,14:00 ,Premier League,Matchweek 8,Sun,Away,W,4,1,Southampton,4,14,7,50.0,0.29,0.57,16.9,0,0,0,1.9,1.9,0.14,+2.1,+2.1,Match Report
2019-10-19,15:00 ,Premier League,Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,1,16,7,43.8,0.06,0.14,12.4,1,0,0,1.9,1.9,0.12,-0.9,-0.9,Match Report
2019-10-23,18:55 ,Champions Lg,Group stage,Wed,Away,W,1,0,nl Ajax,1,16,4,25.0,0.06,0.25,14.8,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Match Report
2019-10-26,17:30 ,Premier League,Matchweek 10,Sat,Away,W,4,2,Burnley,4,16,7,43.8,0.25,0.57,18.3,1,0,0,1.0,1.0,0.06,+3.0,+3.0,Match Report
